timestamp,x1,y1,z1,x2,y2,z2
[1758211578880257698],2.322,-2.55,-4.851,,,
[1758211578888789468],-2.064,0.618,0.603,,,
[1758211578896571031],-0.843,2.471,11.291,,,
[1758211578903778218],6.735,-1.257,13.135,,,
[1758211578910727021],18.56,-3.991,14.305,,,
[1758211578918625406],15.955,-7.872,6.189,,,
[1758211578925825666],19.053,-10.688,-1.944,,,
[1758211578933035406],18.833,-10.592,-7.503,,,
[1758211578939739573],12.256,-8.021,-8.768,,,
[1758211578946648218],4.592,-3.33,-3.699,,,
[1758211578954144208],-3.622,-1.463,7.669,,,
[1758211578961147125],0.177,2.076,8.667,,,
[1758211580005609051],15.615,-7.163,5.404,,,
[1758211615389601746],0.541,-8.44,0.515,,,
[1758211615398373465],19.465,-10.781,-7.939,,,
[1758211615407122632],14.269,-8.576,-10.106,,,
[1758211615415345757],7.573,-4.286,-4.855,,,
[1758211615422783673],-0.17,-0.682,3.196,,,
[1758211615431212111],-1.379,1.769,9.16,,,
[1758211615439583882],3.637,-0.311,12.696,,,
[1758211615447986382],10.743,-4.111,11.272,,,
[1758211615455816173],17.109,-8.595,4.468,,,
[1758211615464301590],19.613,-10.74,-4.068,,,
[1758211615471906746],15.098,-9.184,-8.547,,,
[1758211615479928465],10.35,-5.847,-7.386,,,
[1758211615488259246],3.95,-0.809,-3.096,,,
[1758211615496156694],0.63,1.317,7.032,,,
[1758211615504062423],0.429,0.548,12.809,,,
[1758211615511722423],5.401,-2.282,14.095,,,
[1758211615518235496],12.514,-5.801,10.089,,,
[1758211615525303413],17.973,-9.474,2.875,,,
[1758211615532270809],18.574,-10.944,-4.788,,,
[1758211615539372111],15.522,-9.117,-8.475,,,
[1758211615546330392],11.93,-6.275,-9.234,,,
[1758211615553180600],3.843,-3.294,-4.683,,,
[1758211615560124663],-1.173,0.385,3.668,,,
[1758211615567255809],-0.9,1.544,9.601,,,
[1758211615574247007],3.175,-0.036,14.439,,,
[1758211615581245809],6.682,-2.298,13.329,,,
[1758211615588334038],14.231,-5.887,9.112,,,
[1758211615595293465],19.47,-9.567,0.764,,,
[1758211615602294923],18.95,-10.946,-6.093,,,
[1758211615609779819],13.01,-8.76,-8.602,,,
[1758211615616704402],9.871,-5.567,-8.507,,,
[1758211615623680704],2.504,-1.645,1.034,,,
[1758211615630526538],-2.243,1.369,4.034,,,
[1758211615637329975],-0.464,1.915,10.472,,,
[1758211615644274767],4.932,-0.833,11.959,,,
[1758211615651383621],8.993,-3.594,11.77,,,
[1758211615658183152],15.653,-7.07,5.133,,,
[1758211615665127840],19.613,-10.489,-1.31,,,
[1758211615672044090],18.158,-10.683,-7.245,,,
[1758211615678979454],13.929,-8.183,-10.108,,,
[1758211615685892163],9.287,-4.7,-7.875,,,
[1758211615693437840],1.662,-0.431,-1.566,,,
[1758211615700996121],-2.334,1.31,7.827,,,
[1758211615707535392],1.053,1.341,10.116,,,
[1758211615714208934],6.555,-1.939,13.937,,,
[1758211615720383621],9.905,-4.527,11.384,,,
[1758211615726205965],16.585,-7.594,6.4,,,
[1758211615732189350],19.264,-9.967,-0.424,,,
[1758211615738477944],19.18,-10.731,-5.428,,,
[1758211615744883361],16.173,-9.189,-10.209,,,
[1758211615751175652],9.809,-6.424,-9.431,,,
[1758211615757457527],4.987,-3.038,-5.966,,,
[1758211615763743829],0.108,-0.613,2.399,,,
[1758211615769727736],-2.38,1.468,7.599,,,
[1758211615776219350],1.451,0.845,12.795,,,
[1758211615782084194],5.804,-1.307,14.068,,,
[1758211615788320704],10.884,-3.876,11.554,,,
[1758211615794481954],17.456,-7.726,7.111,,,
[1758211615800606225],18.299,-10.01,-1.3,,,
[1758211615807109923],19.496,-10.637,-7.144,,,
[1758211615813407267],15.706,-9.081,-9.665,,,
[1758211615820519611],9.287,-5.598,-8.394,,,
[1758211615827661329],4.733,-1.475,-2.028,,,
[1758211615834992579],0.524,0.862,4.448,,,
[1758211615841743986],-2.274,1.769,11.006,,,
[1758211615848565496],3.44,-0.369,12.553,,,
[1758211615855504923],9.919,-3.326,12.275,,,
[1758211615862608673],14.602,-7.635,7.135,,,
[1758211615869504194],17.957,-9.673,-0.919,,,
[1758211615876964246],19.17,-10.592,-6.981,,,
[1758211615882791694],13.934,-8.717,-9.11,,,
[1758211615889760340],8.667,-5.397,-7.819,,,
[1758211615896991381],3.44,-1.551,-1.271,,,
[1758211615904493100],-0.038,0.766,5.38,,,
[1758211615911502840],-1.211,1.223,11.078,,,
[1758211615918167788],4.393,-0.809,14.143,,,
[1758211615925421433],11.693,-4.896,11.145,,,
[1758211615932084871],15.086,-8.205,5.847,,,
[1758211615938967736],18.663,-10.132,-2.294,,,
[1758211615946377736],18.692,-10.072,-7.264,,,
[1758211615953119819],12.842,-8.097,-8.94,,,
[1758211615960108933],6.282,-4.334,-6.558,,,
[1758211615967394402],1.274,-0.491,-1.532,,,
[1758211615974102788],-0.577,1.286,6.582,,,
[1758211615981217058],-0.532,0.658,12.673,,,
[1758211615988583725],5.626,-1.209,12.886,,,
[1758211615995242475],12.366,-5.629,11.681,,,
[1758211616002568673],17.334,-8.899,3.594,,,
[1758211616009408725],19.252,-10.489,-3.409,,,
[1758211616016241017],18.134,-9.888,-8.059,,,
[1758211616023159715],12.055,-7.424,-9.699,,,
[1758211616030253621],4.599,-3.771,-5.128,,,
[1758211616037188413],2.26,-0.263,0.393,,,
[1758211616044149350],-0.563,1.628,10.266,,,
[1758211616051066433],0.663,0.792,12.438,,,
[1758211616057996433],7.029,-1.714,13.412,,,
[1758211616064944194],14.705,-5.952,8.389,,,
[1758211616072070340],17.435,-9.179,1.69,,,
[1758211616078918569],18.921,-10.695,-7.029,,,
[1758211616085786433],16.539,-9.325,-9.395,,,
[1758211616092786017],10.355,-6.519,-8.973,,,
[1758211616099691954],3.558,-3.256,-4.812,,,
[1758211616106988829],-0.175,0.943,2.373,,,
[1758211616113620392],-0.249,1.76,9.354,,,
[1758211616119738881],1.448,0.443,13.57,,,
[1758211616126053881],8.265,-1.906,13.312,,,
[1758211616132411433],12.838,-5.966,9.254,,,
[1758211616138311694],17.772,-7.961,3.63,,,
[1758211616144116538],19.613,-10.635,-1.585,,,
[1758211616149936694],17.983,-10.183,-7.274,,,
[1758211616155916173],14.906,-8.387,-8.827,,,
[1758211616162197527],9.189,-5.708,-8.866,,,
[1758211616169081902],2.248,-1.882,-3.326,,,
[1758211616175012110],1.836,0.718,2.962,,,
[1758211616181145496],-1.279,1.82,8.195,,,
[1758211616187047267],2.641,0.555,12.239,,,
[1758211616192760600],7.288,-2.042,13.829,,,
[1758211616198581538],9.718,-3.883,10.798,,,
[1758211616204703465],16.36,-7.865,5.255,,,
[1758211616211665235],18.359,-9.833,-1.235,,,
[1758211616218278829],19.376,-10.242,-6.701,,,
[1758211616225917944],14.418,-8.126,-9.12,,,
[1758211616233530340],7.362,-4.618,-6.376,,,
[1758211616240454298],0.227,-0.759,-0.63,,,
[1758211616247236433],-0.721,1.599,7.491,,,
[1758211616254199610],0.742,1.14,13.412,,,
[1758211616261008673],4.571,-1.041,13.544,,,
[1758211616268022996],11.344,-4.424,10.894,,,
[1758211616274966381],17.966,-8.236,4.149,,,
[1758211616282027840],19.17,-10.297,-3.112,,,
[1758211616289035860],16.664,-9.845,-8.135,,,
[1758211616295904194],12.972,-7.451,-8.753,,,
[1758211616303382892],5.756,-3.903,-4.556,,,
[1758211616309994663],-1.791,0.23,0.792,,,
[1758211616317037840],-1.24,1.942,8.976,,,
[1758211616324136746],2.349,0.723,12.888,,,
[1758211616331066746],5.964,-1.93,14.004,,,
[1758211616337968673],13.273,-5.66,9.78,,,
[1758211616344935131],19.201,-9.668,2.844,,,
[1758211616351850860],19.111,-11.068,-4.956,,,
[1758211616358798308],16.247,-8.904,-8.787,,,
[1758211616366017110],10.989,-6.141,-9.376,,,
[1758211616373156433],3.79,-2.667,-4.331,,,
[1758211616380047267],-0.804,0.946,3.546,,,
[1758211616386862110],-0.12,2.076,8.631,,,
[1758211616393652006],2.878,0.275,13.228,,,
[1758211616400454246],6.977,-2.535,13.302,,,
[1758211616407488777],14.858,-6.012,8.526,,,
[1758211616414211017],19.587,-9.687,0.776,,,
[1758211616420274194],18.732,-10.925,-5.66,,,
[1758211616426113881],17.763,-9.517,-8.133,,,
[1758211616432872475],12.076,-6.998,-9.888,,,
[1758211616438744142],5.306,-3.622,-6.79,,,
[1758211616445411590],1.475,-1.911,-0.194,,,
[1758211616451717162],-1.776,1.219,7.032,,,
[1758211616457745496],-0.251,1.29,10.745,,,
[1758211616464449715],5.854,-0.864,13.664,,,
[1758211616470614715],8.655,-3.263,13.02,,,
[1758211616476960704],15.438,-6.838,7.503,,,
[1758211616483186590],19.613,-9.855,1.211,,,
[1758211616489249402],18.876,-10.807,-5.995,,,
[1758211616495221329],17.013,-9.45,-9.263,,,
[1758211616500973360],11.064,-7.135,-9.685,,,
[1758211616506784558],7.415,-4.398,-5.662,,,
[1758211616512696485],0.819,-1.305,-1.585,,,
[1758211616519991121],-2.291,1.429,6.63,,,
[1758211616526581173],1.113,1.396,11.222,,,
[1758211616533978152],6.608,-1.374,14.066,,,
[1758211616541362215],10.587,-4.659,10.087,,,
[1758211616548029090],17.037,-8.164,5.049,,,
[1758211616554929246],19.613,-10.915,-3.225,,,
[1758211616561830496],16.805,-10.259,-7.843,,,
[1758211616569060287],11.284,-7.29,-8.37,,,
[1758211616576088100],6.46,-3.433,-6.141,,,
[1758211616582996642],-1.18,-0.486,0.508,,,
[1758211616589874298],-2.219,2.133,7.702,,,
[1758211616596562162],2.421,0.991,12.383,,,
[1758211616603625548],6.876,-1.417,12.914,,,
[1758211616610537892],12.002,-4.877,10.312,,,
[1758211616617949923],18.261,-9.052,1.937,,,
[1758211616624785496],19.613,-10.671,-4.511,,,
[1758211616631736225],15.972,-9.737,-8.2,,,
[1758211616638571121],11.298,-6.646,-9.007,,,
[1758211616645886850],5.933,-3.072,-4.369,,,
[1758211616652648673],1.075,0.093,2.715,,,
[1758211616659796798],-1.779,1.753,9.833,,,
[1758211616666696746],3.752,0.117,13.127,,,
[1758211616673707527],8.507,-2.895,13.214,,,
[1758211616680548152],13.434,-5.933,7.877,,,
[1758211616687733100],18.56,-9.036,0.833,,,
[1758211616694399819],19.613,-11.138,-5.619,,,
[1758211616702112579],14.65,-8.902,-9.069,,,
[1758211616708750756],9.325,-5.782,-8.437,,,
[1758211616715656069],4.338,-2.136,-4.223,,,
[1758211616722607631],0.512,1.056,4.798,,,
[1758211616729519454],-1.384,2.083,10.472,,,
[1758211616736803985],5.107,-0.086,12.337,,,
[1758211616743868204],10.372,-3.397,12.651,,,
[1758211616751137944],14.772,-7.149,6.246,,,
[1758211616757770496],19.022,-9.941,-0.177,,,
[1758211616764734142],19.613,-11.162,-6.926,,,
[1758211616771602267],14.092,-8.578,-9.357,,,
[1758211616778794142],7.324,-4.7,-7.961,,,
[1758211616785816902],3.057,-0.867,-1.046,,,
[1758211616792764975],-0.84,1.259,7.24,,,
[1758211616799570183],-0.678,1.59,11.835,,,
[1758211616806391954],6.026,-0.812,14.732,,,
[1758211616813302996],11.205,-4.254,12.433,,,
[1758211616820269610],16.024,-7.532,6.096,,,
[1758211616828017839],19.544,-10.247,-3.56,,,
[1758211616834846954],19.553,-10.113,-8.954,,,
[1758211616842141329],12.28,-7.36,-9.455,,,
[1758211616848778100],6.967,-3.613,-6.536,,,
[1758211616856092891],0.927,-0.354,1.523,,,
[1758211616862764402],-0.582,1.745,8.823,,,
[1758211616870006537],1.01,0.555,13.568,,,
[1758211616876977110],7.671,-2.035,13.384,,,
[1758211616883932319],13.515,-5.748,10.027,,,
[1758211616890920808],16.609,-8.521,2.725,,,
[1758211616897892683],19.546,-10.441,-4.999,,,
[1758211616904839402],17.521,-9.893,-8.511,,,
[1758211616912117423],11.217,-6.414,-8.887,,,
[1758211616919375548],3.177,-2.126,-5.435,,,
[1758211616926030548],2.282,-0.11,2.981,,,
[1758211616932981641],-0.543,1.791,9.723,,,
[1758211616939920600],2.105,0.627,13.69,,,
[1758211616947262527],8.523,-2.605,12.05,,,
[1758211616954369558],15.356,-6.759,8.353,,,
[1758211616961383673],17.971,-9.67,0.706,,,
[1758211616968298204],19.489,-10.566,-6.807,,,
[1758211616975230339],16.611,-9.345,-8.799,,,
[1758211616982125183],10.063,-6.223,-8.102,,,
[1758211616989244141],3.168,-2.181,-0.831,,,
[1758211616996661537],-0.548,1.578,4.884,,,
[1758211617003594141],-0.457,1.597,11.526,,,
[1758211617010667110],3.847,-0.412,12.536,,,
[1758211617017144298],10.197,-3.405,11.921,,,
[1758211617023155496],15.344,-7.374,6.539,,,
[1758211617029364766],18.299,-9.706,-0.28,,,
[1758211617035634246],19.613,-10.97,-7.271,,,
[1758211617041953725],15.433,-9.582,-8.222,,,
[1758211617048364506],9.926,-6.491,-10.338,,,
[1758211617054797631],6.132,-3.409,-6.337,,,
[1758211617060963881],0.8,0.098,1.554,,,
