timestamp,x1,y1,z1,x2,y2,z2
[1758207081052522096],,,,0.692,-2.485,11.633
[1758207081059086836],,,,0.692,-3.591,11.056
[1758207081065623034],,,,0.565,-1.788,11.557
[1758207081072039700],,,,0.515,-1.563,12.198
[1758207081078618971],,,,0.383,-1.168,10.879
[1758207081084724648],,,,0.254,1.64,10.831
[1758207081090533555],,,,-0.002,0.52,10.956
[1758207081096378763],,,,-0.213,2.037,10.621
[1758207081102264284],,,,-0.316,2.485,9.799
[1758207081108533867],,,,-0.302,1.664,9.452
[1758207081114514440],,,,-0.407,3.718,9.5
[1758207081120353450],,,,-0.63,2.373,9.694
[1758207081126254336],,,,-0.776,3.163,9.052
[1758207081131958867],,,,-0.582,3.053,8.521
[1758207081137662148],,,,-0.412,2.057,7.877
[1758207081143229648],,,,-0.431,2.562,7.286
[1758207081149000742],,,,-0.153,-0.117,7.896
[1758207081154478190],,,,-0.005,0.455,8.435
[1758207081160410325],,,,-0.012,-1.69,8.459
[1758207081166096367],,,,0.036,-1.183,8.44
[1758207081171800013],,,,0.096,-1.82,9.139
[1758207081177401523],,,,0.306,-2.761,9.376
[1758207081182742252],,,,0.587,-1.781,9.258
[1758207081189177565],,,,0.486,-3.654,9.632
[1758207081195735586],,,,0.668,-2.581,10.518
[1758207081202215377],,,,0.819,-2.631,10.819
[1758207081208670950],,,,0.67,-3.481,11.461
[1758207081215118607],,,,0.728,-1.279,11.765
[1758207081221547148],,,,0.407,-1.63,12.04
[1758207081228171627],,,,0.323,-0.306,12.067
[1758207081234777357],,,,0.108,1.908,11.519
[1758207081241579492],,,,-0.189,1.405,11.073
[1758207081248047930],,,,-0.215,1.75,10.518
[1758207081254600482],,,,-0.347,3.287,10.376
[1758207081261644544],,,,-0.184,2.344,9.567
[1758207081268387669],,,,-0.723,2.272,8.892
[1758207081274943607],,,,-0.529,3.809,8.653
[1758207081281492513],,,,-0.704,2.387,8.461
[1758207081287958398],,,,-0.792,1.511,7.666
[1758207081294397096],,,,-0.412,1.946,7.441
[1758207081300830846],,,,-0.304,-0.685,7.36
[1758207081307584700],,,,-0.11,-1.379,7.554
[1758207081314040482],,,,0.031,-0.718,8.018
[1758207081320564492],,,,0.4,-2.978,8.607
[1758207081326904700],,,,0.443,-2.394,10.676
[1758207081333612617],,,,0.433,-1.817,10.846
[1758207081340418763],,,,0.702,-3.63,11.229
[1758207081346879075],,,,0.651,-2.679,10.317
[1758207081353316732],,,,0.713,-1.98,11.174
[1758207081359917252],,,,0.778,-3.364,12.112
[1758207081366746679],,,,0.371,-1.097,11.31
[1758207081373227252],,,,0.254,1.051,12.373
[1758207081379723711],,,,0.225,-0.089,11.552
[1758207081385671575],,,,-0.208,1.875,11.614
[1758207081391470534],,,,-0.256,1.82,11.001
[1758207081397220534],,,,-0.33,2.121,10.285
[1758207081403469596],,,,-0.419,3.263,10.259
[1758207081409339388],,,,-0.522,1.836,9.146
[1758207081415039648],,,,-0.634,3.673,8.583
[1758207081420849961],,,,-0.864,2.887,8.291
[1758207081426699596],,,,-0.649,2.957,7.728
[1758207081432453919],,,,-0.826,2.897,8.013
[1758207081438275534],,,,-0.232,0.462,8.262
[1758207081443851315],,,,-0.441,1.204,8.487
[1758207081449618867],,,,0.072,-1.63,7.453
[1758207081455310325],,,,0.273,-1.008,8.033
[1758207081461031732],,,,0.158,-1.508,8.224
[1758207081466866940],,,,0.139,-2.054,8.373
[1758207081472588867],,,,0.175,-1.836,9.426
[1758207081478103138],,,,0.433,-3.383,9.658
[1758207081483863659],,,,0.496,-1.951,10.247
[1758207081489605377],,,,0.893,-3.929,10.609
[1758207081495309648],,,,0.493,-2.643,10.884
[1758207081501016211],,,,0.713,-2.672,11.581
[1758207081506695221],,,,0.582,-2.095,11.894
[1758207081512377200],,,,0.417,-0.63,11.514
[1758207081517931419],,,,0.256,-0.663,11.796
[1758207081523692461],,,,0.148,1.595,11.507
[1758207081529449596],,,,0.057,0.654,11.334
[1758207081535262721],,,,-0.199,2.519,10.793
[1758207081541061836],,,,-0.026,2.236,10.398
[1758207081547490898],,,,-0.397,2.014,9.919
[1758207081553448606],,,,-0.668,3.543,9.665
[1758207081559312773],,,,-0.737,2.272,8.715
[1758207081565071888],,,,-0.658,3.859,8.064
[1758207081570883294],,,,-0.567,2.602,8.37
[1758207081576649804],,,,-0.558,2.332,8.243
[1758207081582759440],,,,-0.553,2.411,8.059
[1758207081589252617],,,,-0.33,-0.165,8.6
