timestamp,x1,y1,z1,x2,y2,z2
[1758211275991483959],,,,9.5,-10.496,-16.216
[1758211275999783282],,,,5.734,-4.556,-10.736
[1758211276007666824],,,,-8.866,3.802,2.61
[1758211276015601251],,,,-4.171,4.041,14.633
[1758211276023232188],,,,6.907,0.024,15.526
[1758211276031077813],,,,14.48,-5.327,7.341
[1758211331569208313],,,,4.532,3.8,7.958
[1758211331577432323],,,,4.381,3.488,8.006
[1758211331584169094],,,,4.559,3.541,7.544
[1758211331590842323],,,,4.604,3.879,7.913
[1758211331597514979],,,,4.413,3.63,7.934
[1758211331604284302],,,,4.647,3.706,7.714
[1758211331611066542],,,,4.757,3.97,7.903
[1758211333720902531],,,,4.745,3.898,7.817
[1758211333728805499],,,,4.451,3.685,7.86
[1758211333735447062],,,,4.731,3.448,7.863
[1758211333742119093],,,,4.757,3.934,7.829
[1758211333748983677],,,,4.434,3.596,7.745
[1758211333755510239],,,,4.685,3.62,7.843
[1758211333761996906],,,,4.875,3.953,7.884
[1758211334809540707],,,,4.381,3.836,7.985
[1758211334817079978],,,,3.886,2.78,7.989
[1758211334824451437],,,,4.937,3.203,7.901
[1758211334831703572],,,,5.602,4.846,8.061
[1758211334838187218],,,,3.395,3.349,7.693
[1758211334844865395],,,,5.028,3.369,7.884
[1758211334851527582],,,,5.6,4.824,7.721
[1758211334858186176],,,,3.302,3.187,7.776
[1758211334864698676],,,,5.179,3.347,7.544
[1758211334871043989],,,,5.341,5.174,7.705
[1758211334877706541],,,,3.266,2.313,8.016
[1758211334884292114],,,,5.059,3.244,7.551
[1758211334890768884],,,,5.229,4.942,7.966
[1758211334897529197],,,,3.213,2.342,7.171
[1758211334904089874],,,,5.825,3.294,7.652
[1758211334910584770],,,,5.138,5.15,8.049
[1758211334917066020],,,,3.632,2.6,6.874
[1758211334923594666],,,,6.132,4.415,7.757
[1758211334930057218],,,,4.231,4.81,7.915
[1758211334936559301],,,,4.381,3.091,7.824
[1758211334943086801],,,,5.437,4.286,8.284
[1758211334949549353],,,,3.864,3.589,8.499
[1758211334956037166],,,,4.116,2.909,8.14
[1758211334962541176],,,,4.01,3.816,8.638
[1758211334969048364],,,,3.464,3.306,8.54
[1758211334975525812],,,,4.185,3.496,8.473
[1758211334981921489],,,,4.496,4.257,8.645
[1758211334988755707],,,,4.278,3.733,8.282
[1758211334995241905],,,,4.776,4.003,7.666
[1758211335001744978],,,,4.942,4.465,8.308
[1758211335008090811],,,,4.489,3.898,7.511
[1758211335014413989],,,,5.114,4.348,7.298
[1758211335021199353],,,,5.035,4.638,7.384
[1758211335027697843],,,,4.228,3.658,7.458
[1758211335034254822],,,,4.724,3.943,7.599
[1758211335040738936],,,,4.029,3.917,7.621
[1758211335047223728],,,,3.598,3.203,7.977
[1758211335053596957],,,,4.36,3.539,8.205
[1758211335059926384],,,,3.8,3.852,8.124
[1758211335066805968],,,,4.085,3.172,7.673
[1758211335072930499],,,,4.855,4.118,8.238
[1758211335078858832],,,,4.52,3.879,8.195
[1758211335084665811],,,,4.831,3.735,7.767
[1758211335090609770],,,,5.205,4.372,7.626
[1758211335096390291],,,,4.705,3.529,7.966
[1758211336160805499],,,,4.489,4.226,8.049
[1758211336168339665],,,,3.677,3.598,8.183
[1758211336175136019],,,,4.741,3.977,7.908
