timestamp,x1,y1,z1,x2,y2,z2
[1758203718290455961],,,,3.029,0.28,9.505
[1758203718294115075],,,,2.847,0.065,9.541
[1758203718297810075],,,,2.885,0.192,9.448
[1758203718301519607],,,,2.88,0.273,9.452
[1758203718305240440],,,,2.95,0.168,9.565
[1758203718308903148],,,,3.069,0.096,9.421
[1758203718312577575],,,,2.856,0.184,9.426
[1758203718317156221],,,,2.816,0.074,9.421
[1758203718320969294],,,,2.962,0.184,9.503
[1758203718324719086],,,,2.935,0.211,9.388
[1758203718328651950],,,,3.098,0.189,9.603
[1758203718332330752],,,,2.787,0.156,9.634
[1758203718336023096],,,,2.885,0.168,9.402
[1758203718339680180],,,,2.914,0.096,9.522
[1758203718343353461],,,,3.043,0.165,9.349
[1758203718347094294],,,,2.902,0.172,9.567
[1758203718350809867],,,,2.761,0.129,9.342
[1758203718354581638],,,,2.971,0.213,9.364
[1758203718358378877],,,,2.966,0.177,9.651
[1758203718362201325],,,,3.062,0.165,9.426
[1758203718365905127],,,,2.947,0.187,9.488
[1758203718369573148],,,,2.818,0.292,9.352
[1758203718373250388],,,,3.024,0.201,9.524
[1758203718377961065],,,,2.914,0.17,9.409
[1758203718381745492],,,,3.014,0.199,9.364
[1758203718385463773],,,,2.887,0.283,9.493
[1758203718389129086],,,,2.837,0.158,9.455
[1758203718392801586],,,,2.983,0.208,9.498
[1758203718396486169],,,,3.129,0.268,9.517
[1758203718400149919],,,,2.808,0.16,9.436
[1758203718403821846],,,,2.799,0.098,9.474
[1758203718407560596],,,,2.816,0.153,9.495
[1758203718411233252],,,,2.849,0.266,9.527
[1758203718414998565],,,,2.952,0.165,9.572
[1758203718418693409],,,,3.019,0.163,9.517
[1758203718422451794],,,,3.033,0.294,9.469
[1758203718426473825],,,,2.782,0.005,9.412
[1758203718430219555],,,,2.832,0.232,9.44
[1758203718433924607],,,,2.945,0.091,9.503
[1758203718437618200],,,,2.811,0.436,9.744
[1758203718441289555],,,,2.923,0.165,9.412
[1758203718445021065],,,,2.873,0.136,9.464
[1758203718448723096],,,,2.957,0.385,9.232
[1758203718452419815],,,,2.998,0.057,9.383
[1758203718456119346],,,,2.99,0.239,9.527
[1758203718459789815],,,,2.99,0.235,9.536
[1758203718463468409],,,,2.921,0.211,9.498
[1758203718467231690],,,,3.002,0.172,9.378
[1758203718470953252],,,,2.885,0.208,9.397
[1758203718474978044],,,,2.895,0.084,9.548
[1758203718478755284],,,,2.883,0.201,9.618
