[1758209002036649841],,,,,,,0.0
[1758209002041890205],,,,9.625,2.909,1.281,
[1758209002041890205],,,,,,,0.0
[1758209002047020101],,,,9.357,2.842,1.329,
[1758209002047020101],,,,,,,0.0
[1758209002052125153],,,,9.299,2.875,1.353,
[1758209002052125153],,,,,,,0.0
[1758209002057186768],,,,9.361,2.806,1.353,
[1758209002057186768],,,,,,,0.0
[1758209002062281143],,,,9.371,2.883,1.101,
[1758209002062281143],,,,,,,0.0
[1758209002069701664],,,,9.448,2.849,1.437,
[1758209002069701664],,,,,,,0.0
[1758209002074864007],,,,9.467,2.95,1.295,
[1758209002074864007],,,,,,,0.0
[1758209002080022236],,,,9.392,2.849,1.214,
[1758209002080022236],,,,,,,0.0
[1758209002085081716],,,,9.644,2.837,1.302,
[1758209002085081716],,,,,,,0.0
[1758209002090212861],,,,9.38,2.899,1.3,
[1758209002090212861],,,,,,,0.0
[1758209002095358122],,,,9.476,2.897,1.295,
[1758209002095358122],,,,,,,0.0
[1758209002101534216],,,,9.33,2.909,1.346,
[1758209002101534216],,,,,,,0.0
[1758209002108002914],,,,9.266,2.878,1.267,
[1758209002108002914],,,,,,,0.0
[1758209002113353643],,,,9.459,2.878,1.374,
[1758209002113353643],,,,,,,0.0
[1758209002118525726],,,,9.529,2.902,1.238,
[1758209002118525726],,,,,,,0.0
[1758209002123613851],,,,9.354,2.899,1.341,
[1758209002123613851],,,,,,,0.0
[1758209002128679320],,,,9.416,3.041,1.29,
[1758209002128679320],,,,,,,0.0
[1758209002133803486],,,,9.412,2.84,1.341,
[1758209002133803486],,,,,,,0.0
[1758209002138860153],,,,9.562,2.851,1.393,
[1758209002138860153],,,,,,,0.0
[1758209002143918799],,,,9.383,3.01,1.223,
[1758209002143918799],,,,,,,0.0
[1758209002149035361],,,,9.471,2.875,1.317,
[1758209002149035361],,,,,,,0.0
[1758209002154150726],,,,9.421,2.909,1.161,
[1758209002154150726],,,,,,,0.0
[1758209002159337809],,,,9.517,2.842,1.504,
[1758209002159337809],,,,,,,0.0
[1758209002164397445],,,,9.395,2.978,1.125,
[1758209002164397445],,,,,,,0.0
[1758209002169516195],,,,9.392,2.765,1.276,
[1758209002169516195],,,,,,,0.0
[1758209002174541039],,,,9.263,2.892,1.226,
[1758209002174541039],,,,,,,0.0
[1758209002179740622],,,,9.383,2.854,1.118,
[1758209002179740622],,,,,,,0.0
[1758209002184821247],,,,9.471,2.825,1.372,
[1758209002184821247],,,,,,,0.0
[1758209002189912393],,,,9.474,2.921,1.535,
[1758209002189912393],,,,,,,0.0
[1758209002195105882],,,,9.273,2.878,1.293,
[1758209002195105882],,,,,,,0.0
[1758209002200213539],,,,9.414,2.89,1.214,
[1758209002200213539],,,,,,,0.0
[1758209002205302184],,,,9.421,2.923,1.362,
[1758209002205302184],,,,,,,0.0
[1758209002210363070],,,,9.462,2.804,1.073,
[1758209002210363070],,,,,,,0.0
[1758209002216689372],,,,9.44,2.761,1.077,
[1758209002216689372],,,,,,,0.0
[1758209002221981872],,,,9.385,2.818,1.334,
[1758209002221981872],,,,,,,0.0
[1758209002229331403],,,,9.397,2.816,1.425,
[1758209002229331403],,,,,,,0.0
[1758209002235825934],,,,9.445,2.907,1.111,
[1758209002235825934],,,,,,,0.0
[1758209002240984632],,,,9.431,2.816,1.269,
[1758209002240984632],,,,,,,0.0
[1758209002246037445],,,,9.397,2.801,1.384,
[1758209002246037445],,,,,,,0.0
[1758209002251120153],,,,9.397,2.914,1.233,
[1758209002251120153],,,,,,,0.0
[1758209002256169059],,,,9.632,2.935,1.168,
[1758209002256169059],,,,,,,0.0
[1758209002261190361],,,,9.359,2.899,1.283,
[1758209002261190361],,,,,,,0.0
[1758209002266230622],,,,9.436,2.914,1.317,
[1758209002266230622],,,,,,,0.0
[1758209002271288955],,,,9.486,2.921,1.319,
[1758209002271288955],,,,,,,0.0
[1758209002276351195],,,,9.436,2.772,1.398,
[1758209002276351195],,,,,,,0.0
[1758209002281562445],,,,9.471,2.89,1.259,
[1758209002281562445],,,,,,,0.0
[1758209002286636403],,,,9.567,2.787,1.231,
[1758209002286636403],,,,,,,0.0
[1758209002291714007],,,,9.349,2.871,1.53,
[1758209002291714007],,,,,,,0.0
[1758209002296757601],,,,9.395,2.794,1.214,
[1758209002296757601],,,,,,,0.0
[1758209002301809216],,,,9.4,2.931,1.166,
[1758209002301809216],,,,,,,0.0
[1758209002306855986],,,,9.438,2.899,1.25,
[1758209002306855986],,,,,,,0.0
[1758209002311942288],,,,9.543,2.938,1.262,
[1758209002311942288],,,,,,,0.0
[1758209002316998382],,,,9.479,2.952,1.161,
[1758209002316998382],,,,,,,0.0
[1758209002322071872],,,,9.625,3.06,1.314,
[1758209002322071872],,,,,,,0.0
[1758209002327150153],,,,9.591,2.768,1.408,
[1758209002327150153],,,,,,,0.0
[1758209002332624372],,,,9.481,2.84,1.209,
[1758209002332624372],,,,,,,0.0
[1758209002337727913],,,,9.258,2.883,1.255,
[1758209002337727913],,,,,,,0.0
[1758209002344029528],,,,9.412,2.986,1.372,
[1758209002344029528],,,,,,,0.0
[1758209002350324111],,,,9.457,2.907,1.322,
[1758209002350324111],,,,,,,0.0
[1758209002355539163],,,,9.318,2.928,1.408,
[1758209002355539163],,,,,,,0.0
[1758209002360595986],,,,9.311,2.931,1.159,
[1758209002360595986],,,,,,,0.0
[1758209002365623382],,,,9.431,2.804,1.132,
[1758209002365623382],,,,,,,0.0
[1758209002370673278],,,,9.483,2.976,1.403,
[1758209002370673278],,,,,,,0.0
[1758209002375705830],,,,9.471,2.835,1.35,
[1758209002375705830],,,,,,,0.0
[1758209002380865882],,,,9.383,2.761,1.305,
[1758209002380865882],,,,,,,0.0
[1758209002385935830],,,,9.337,2.859,1.25,
[1758209002385935830],,,,,,,0.0
[1758209002391054841],,,,9.603,2.978,1.348,
[1758209002391054841],,,,,,,0.0
[1758209002396241351],,,,9.225,2.947,1.245,
[1758209002396241351],,,,,,,0.0
[1758209002401317705],,,,9.467,2.789,1.204,
[1758209002401317705],,,,,,,0.0
[1758209002406371455],,,,9.39,2.911,1.484,
[1758209002406371455],,,,,,,0.0
[1758209002411448695],,,,9.491,2.823,1.219,
[1758209002411448695],,,,,,,0.0
[1758209002416505934],,,,9.371,2.813,1.286,
[1758209002416505934],,,,,,,0.0
[1758209002421564476],,,,9.5,2.95,1.235,
[1758209002421564476],,,,,,,0.0
[1758209002426667757],,,,9.4,2.978,1.259,
[1758209002426667757],,,,,,,0.0
[1758209002431868643],,,,9.424,3.06,1.279,
[1758209002431868643],,,,,,,0.0
[1758209002436936195],,,,9.392,3.053,1.341,
[1758209002436936195],,,,,,,0.0
[1758209002442009997],,,,9.378,3.057,1.247,
[1758209002442009997],,,,,,,0.0
