timestamp,frequency_hz
[1758207029887089980],2.75
[1758207029893613210],2.75
[1758207029900166126],2.75
[1758207029906519980],2.75
[1758207029913132220],2.75
[1758207029919451699],2.75
[1758207029926326751],2.75
[1758207029932334720],2.75
[1758207029938181699],2.75
[1758207029943933991],2.75
[1758207029949791335],2.75
[1758207029955549460],2.75
[1758207029961307793],2.75
[1758207029967047845],2.75
[1758207029972809564],2.75
[1758207029978514720],2.75
[1758207029984264824],2.75
[1758207029989911022],2.75
[1758207029995770189],2.75
[1758207030001557064],2.75
[1758207030007384147],2.75
[1758207030013149564],2.75
[1758207030018895553],2.75
[1758207030024743262],2.75
[1758207030030755866],2.75
[1758207030036520970],2.75
[1758207030042315866],2.75
[1758207030047523262],2.75
[1758207030053154772],2.75
[1758207030058697012],2.75
[1758207030064279512],2.75
[1758207030070049564],2.75
[1758207030075714355],2.75
[1758207030081414355],2.75
[1758207030087100553],2.75
[1758207030092784251],2.75
[1758207030098475137],2.75
[1758207030104029407],2.75
[1758207030109687272],2.75
[1758207030115387793],2.75
[1758207030121089824],2.75
[1758207030126890970],2.75
[1758207030133110137],2.75
[1758207030139542324],2.75
[1758207030146039199],2.75
[1758207030152848522],2.75
[1758207030159287116],2.75
[1758207030165750189],2.75
[1758207030172235449],2.75
[1758207030178671022],2.75
[1758207030185196074],2.75
[1758207030191628626],2.75
[1758207030198156282],2.75
[1758207030204550501],2.75
[1758207030211195814],2.75
[1758207030217792741],2.75
[1758207030224160553],2.75
[1758207030231208470],2.75
[1758207030238137168],2.79
[1758207030244626439],2.79
[1758207030251169199],2.79
[1758207030257670709],2.79
[1758207030263990918],2.79
[1758207030270276751],2.79
[1758207030276996647],2.79
[1758207030283529511],2.79
[1758207030290028730],2.79
[1758207030296503678],2.79
[1758207030302790918],2.79
[1758207030309143209],2.79
[1758207030315879824],2.79
[1758207030322552011],2.79
[1758207030329033782],2.79
[1758207030335641178],2.79
[1758207030342133834],2.79
[1758207030348605553],2.79
[1758207030355052897],2.79
[1758207030361588209],2.79
[1758207030368096386],2.79
[1758207030374575814],2.79
[1758207030381140397],2.79
[1758207030387550345],2.79
[1758207030394022220],2.79
[1758207030400606959],2.79
[1758207030407116230],2.79
[1758207030413408209],2.79
[1758207030420084668],2.79
[1758207030426439876],2.79
[1758207030432921230],2.79
[1758207030438761074],2.79
[1758207030444536751],2.79
[1758207030450284251],2.79
[1758207030456197845],2.79
[1758207030461974616],2.79
[1758207030467724668],2.79
[1758207030473564668],2.79
[1758207030479383366],2.79
[1758207030485185241],2.79
[1758207030490810709],2.79
[1758207030496544147],2.79
[1758207030502348678],2.79
[1758207030508057897],2.79
[1758207030513872741],2.79
[1758207030519869251],2.79
[1758207030525599303],2.79
[1758207030531421595],2.79
[1758207030537159668],2.79
[1758207030542964772],2.79
[1758207030548781699],2.79
[1758207030554433105],2.79
[1758207030560277272],2.79
[1758207030566127272],2.79
[1758207030571886543],2.79
[1758207030577661282],2.79
[1758207030583483418],2.79
[1758207030589524616],2.79
[1758207030595317116],2.76
[1758207030601180501],2.76
[1758207030607054199],2.76
[1758207030612846074],2.76
[1758207030618633834],2.76
[1758207030624506543],2.76
[1758207030630281022],2.76
[1758207030637581178],2.76
[1758207030644149720],2.76
[1758207030650697793],2.76
[1758207030657159980],2.76
[1758207030663667220],2.76
[1758207030670188990],2.76
[1758207030676669563],2.76
[1758207030683150657],2.76
[1758207030689457480],2.76
[1758207030695968730],2.76
[1758207030702569511],2.76
[1758207030709328209],2.76
[1758207030715790553],2.76
[1758207030722273053],2.76
[1758207030728815657],2.76
[1758207030734320136],2.76
[1758207030740035865],2.76
[1758207030745828053],2.76
[1758207030751343522],2.76
