timestamp,x1,y1,z1,x2,y2,z2
[1758203261916930064],,,,0.524,5.801,8.21
[1758203261920631783],,,,0.486,5.914,8.258
[1758203261924286679],,,,0.201,5.686,8.167
[1758203261927939700],,,,0.668,5.758,8.356
[1758203261931628241],,,,0.814,5.72,8.126
[1758203261935298658],,,,0.761,5.763,8.25
[1758203261939003345],,,,0.757,5.878,8.279
[1758203261942706627],,,,0.599,5.765,8.066
[1758203261946350429],,,,0.819,5.696,8.078
[1758203261950019908],,,,0.5,5.89,8.009
[1758203261955576314],,,,0.421,5.971,7.949
[1758203261959619543],,,,0.532,5.806,7.836
[1758203261963395429],,,,0.172,5.995,8.162
[1758203261967113502],,,,1.293,5.466,8.056
[1758203261970845585],,,,1.274,5.557,8.052
[1758203261974544804],,,,1.192,5.466,8.073
[1758203261978232460],,,,1.068,5.636,8.171
[1758203261982189335],,,,0.778,5.531,8.329
[1758203261985916835],,,,0.45,5.842,8.332
[1758203261989585637],,,,0.122,6.019,8.135
[1758203261993295377],,,,0.034,6.148,8.08
[1758203261996973866],,,,0.151,6.076,8.207
[1758203262000751262],,,,0.405,5.933,7.779
[1758203262004598658],,,,0.405,6.129,7.666
[1758203262008317668],,,,0.666,5.966,7.786
[1758203262012882512],,,,0.96,5.689,7.626
[1758203262016663137],,,,0.783,6.093,7.728
[1758203262020374908],,,,0.326,6.057,7.736
[1758203262024039856],,,,0.376,6.151,7.793
[1758203262027691054],,,,0.345,5.926,7.942
[1758203262031389595],,,,0.666,5.878,8.018
[1758203262035045637],,,,0.757,5.866,8.083
[1758203262038713554],,,,0.472,5.871,8.09
[1758203262042396991],,,,0.352,5.906,8.011
[1758203262046050377],,,,0.46,5.737,8.116
[1758203262049716991],,,,0.699,5.701,8.303
[1758203262053438762],,,,0.939,5.657,8.092
[1758203262057184752],,,,1.188,5.444,8.155
[1758203262061207773],,,,1.334,5.449,8.38
[1758203262064898450],,,,1.051,5.423,8.317
[1758203262068597147],,,,0.962,5.48,8.466
[1758203262072271679],,,,0.742,5.638,8.396
[1758203262075910585],,,,0.606,5.622,8.339
[1758203262079636627],,,,0.594,5.547,8.495
[1758203262083358085],,,,0.694,5.796,8.341
[1758203262087792095],,,,0.601,5.787,8.32
[1758203262091915377],,,,0.527,5.772,8.174
[1758203262095686418],,,,0.548,5.906,7.882
[1758203262099360012],,,,0.687,5.887,7.937
[1758203262103022460],,,,0.737,5.878,7.784
[1758203262106659647],,,,0.888,5.796,7.877
[1758203262110373710],,,,0.771,5.859,7.712
[1758203262114128085],,,,0.773,5.76,7.563
[1758203262117787200],,,,0.781,5.813,7.721
[1758203262121543866],,,,0.57,5.729,7.688
[1758203262125219491],,,,0.737,5.873,7.915
[1758203262128904283],,,,0.608,5.892,7.872
[1758203262132630116],,,,0.666,5.784,8.265
[1758203262136441939],,,,0.627,5.89,8.203
[1758203262140120377],,,,0.706,5.832,8.164
[1758203262143772095],,,,0.651,5.684,8.305
[1758203262147440950],,,,0.661,5.717,8.078
[1758203262151142929],,,,0.953,5.713,8.231
[1758203262154843241],,,,0.821,5.672,8.334
[1758203262158514543],,,,0.812,5.567,8.301
[1758203262163129179],,,,0.742,5.593,8.219
[1758203262166910950],,,,0.752,5.784,7.968
[1758203262170674752],,,,0.888,5.578,8.25
[1758203262174340897],,,,0.903,5.703,8.229
[1758203262178010272],,,,0.804,5.681,8.327
[1758203262181714647],,,,0.883,5.904,8.114
[1758203262185396679],,,,0.654,5.875,8.147
[1758203262189072460],,,,0.67,5.806,8.21
[1758203262192800220],,,,0.551,5.959,7.92
[1758203262196494700],,,,0.618,5.763,7.944
[1758203262200406106],,,,0.603,5.77,7.951
[1758203262204217668],,,,0.706,5.823,7.908
[1758203262208026835],,,,0.634,5.942,7.879
[1758203262211791991],,,,0.874,5.945,7.903
[1758203262215487929],,,,0.704,5.744,8.023
[1758203262219184439],,,,0.781,5.717,8.028
[1758203262222867877],,,,0.893,5.76,7.994
[1758203262226555950],,,,0.656,5.804,8.15
[1758203262230201522],,,,0.783,5.763,8.068
[1758203262233893450],,,,0.876,5.705,7.98
[1758203262238662043],,,,0.687,5.708,8.061
[1758203262243528814],,,,0.699,5.741,8.164
[1758203262247498137],,,,0.713,5.708,8.116
[1758203262251425429],,,,0.67,5.847,7.977
[1758203262255299856],,,,0.668,5.789,8.021
[1758203262259211002],,,,0.812,5.746,8.124
[1758203262263550897],,,,0.771,5.713,8.061
[1758203262267446158],,,,0.666,5.775,7.944
[1758203262271382720],,,,0.754,5.856,8.045
[1758203262275264595],,,,0.721,5.823,7.934
[1758203262279148397],,,,0.713,5.722,7.985
[1758203262283027877],,,,0.601,5.801,7.97
[1758203262286751679],,,,0.68,5.916,8.042
[1758203262290615168],,,,0.74,5.859,8.009
[1758203262294380220],,,,0.654,5.729,8.068
[1758203262298044283],,,,0.692,5.837,8.066
[1758203262301748189],,,,0.627,5.775,7.999
[1758203262305661731],,,,0.709,5.758,8.09
[1758203262309388554],,,,0.802,5.775,8.14
[1758203262313977877],,,,0.625,5.799,7.982
[1758203262317772877],,,,0.668,5.722,8.1
[1758203262321480220],,,,0.735,5.696,8.001
[1758203262325137252],,,,0.85,5.918,8.243
[1758203262328808085],,,,0.771,5.708,8.073
[1758203262332513189],,,,0.874,5.78,8.174
[1758203262336171731],,,,0.809,5.713,8.152
[1758203262339839439],,,,0.704,5.696,8.138
[1758203262343565220],,,,0.718,5.722,8.04
[1758203262347279804],,,,0.625,5.954,8.234
[1758203262350954074],,,,0.905,5.681,8.114
[1758203262354611366],,,,0.73,5.811,8.095
[1758203262358372772],,,,0.611,5.83,8.133
[1758203262362356887],,,,0.615,5.784,7.975
[1758203262366084491],,,,0.809,5.909,8.011
[1758203262369831991],,,,0.769,5.883,7.925
[1758203262373526939],,,,0.704,5.792,8.054
[1758203262377215637],,,,0.745,5.875,7.977
[1758203262380959387],,,,0.733,5.768,8.047
[1758203262384670793],,,,0.618,5.732,7.91
[1758203262388336158],,,,0.919,5.727,8.248
[1758203262392113710],,,,0.735,5.722,7.951
[1758203262395773814],,,,0.599,5.725,7.997
[1758203262399496939],,,,0.79,5.849,8.088
[1758203262403209804],,,,0.764,5.883,8.246
[1758203262406957564],,,,0.469,5.686,8.238
[1758203262411122356],,,,0.907,5.82,8.023
[1758203262414920012],,,,0.86,5.804,8.164
[1758203262418706210],,,,0.69,5.794,8.262
[1758203262422406627],,,,0.599,5.705,7.977
[1758203262426062304],,,,0.706,5.768,8.006
[1758203262429739752],,,,0.781,5.782,8.231
[1758203262433427772],,,,0.761,5.696,8.198
[1758203262437116314],,,,0.67,5.794,8.14
[1758203262440893710],,,,0.778,5.895,8.078
[1758203262444567824],,,,0.687,5.818,8.066
[1758203262448256627],,,,0.704,5.811,7.963
[1758203262451955377],,,,0.713,5.681,8.025
[1758203262455679491],,,,0.795,5.777,7.922
[1758203262459461106],,,,0.687,5.748,8.097
[1758203262463400897],,,,0.737,5.78,7.839
[1758203262467132356],,,,0.702,5.765,8.066
[1758203262470875012],,,,0.733,5.777,8.088
[1758203262474570481],,,,0.706,5.816,8.035
[1758203262478274595],,,,0.912,5.868,8.138
[1758203262481971106],,,,0.848,5.873,7.997
[1758203262485643345],,,,0.584,5.66,8.229
[1758203262489333606],,,,0.644,5.744,8.102
[1758203262493018502],,,,0.764,5.808,8.279
[1758203262496677929],,,,0.678,5.746,8.243
[1758203262500372824],,,,0.752,5.796,8.174
[1758203262504118554],,,,0.69,5.82,8.217
[1758203262507878137],,,,0.716,5.708,8.078
[1758203262511791522],,,,0.678,5.698,8.064
[1758203262516290064],,,,0.745,5.753,8.191
[1758203262520103710],,,,0.692,5.789,8.011
[1758203262524537304],,,,0.759,5.729,8.059
[1758203262528655116],,,,0.651,5.686,8.229
[1758203262532436522],,,,0.666,5.698,7.944
[1758203262536083033],,,,0.697,5.758,8.195
[1758203262539724908],,,,0.776,5.665,7.994
[1758203262543440064],,,,0.697,5.758,8.186
[1758203262547098554],,,,0.634,5.787,8.085
[1758203262550821783],,,,0.766,5.772,7.958
[1758203262554467147],,,,0.771,5.583,8.035
[1758203262558128085],,,,0.824,5.703,8.018
[1758203262562685689],,,,0.651,5.746,7.925
[1758203262566493710],,,,0.618,5.729,8.133
[1758203262570145637],,,,0.723,5.746,7.98
[1758203262573808449],,,,0.936,5.751,8.265
[1758203262577448658],,,,0.891,5.859,8.092
[1758203262581172616],,,,0.682,5.76,8.162
[1758203262584857564],,,,0.764,5.825,8.013
[1758203262588523970],,,,0.883,5.77,8.045
[1758203262592173866],,,,0.694,5.796,8.04
[1758203262595811835],,,,0.706,5.725,8.159
[1758203262599509439],,,,0.757,5.792,7.815
[1758203262603251574],,,,0.613,5.789,8.234
[1758203262607000220],,,,0.697,5.753,8.09
[1758203262610746991],,,,0.668,5.897,8.018
[1758203262614434543],,,,0.632,5.737,8.052
[1758203262619960741],,,,0.728,5.734,8.042
[1758203262623799908],,,,0.654,5.672,8.023
[1758203262627522981],,,,0.721,5.866,7.992
[1758203262631198762],,,,0.74,5.665,8.047
[1758203262635758033],,,,0.737,5.782,8.054
[1758203262639680897],,,,0.733,5.758,7.985
[1758203262643423606],,,,0.888,5.808,8.092
[1758203262647068658],,,,0.62,5.787,8.04
[1758203262650790845],,,,0.747,5.909,8.013
[1758203262654448814],,,,0.713,5.717,8.059
[1758203262658123814],,,,0.804,5.801,8.131
[1758203262662858345],,,,0.749,5.782,7.982
[1758203262666653658],,,,0.725,5.954,8.004
[1758203262670350481],,,,0.711,5.657,8.193
[1758203262674016314],,,,0.579,5.681,8.162
[1758203262677652147],,,,0.706,5.801,8.035
[1758203262681343866],,,,0.613,5.78,8.078
[1758203262685017199],,,,0.634,5.839,8.112
[1758203262688670533],,,,0.716,5.792,7.97
[1758203262692317251],,,,0.824,5.77,7.994
[1758203262695956106],,,,0.819,5.789,7.956
[1758203262699601210],,,,0.757,5.775,8.128
[1758203262703289022],,,,0.634,5.677,8.085
[1758203262707503918],,,,0.687,5.744,7.956
[1758203262712363918],,,,0.718,5.72,8.03
[1758203262716348970],,,,0.685,5.808,8.131
[1758203262720256418],,,,0.649,5.753,8.138
[1758203262724236053],,,,0.764,5.799,8.083
[1758203262728167251],,,,0.699,5.76,8.112
[1758203262732090949],,,,0.735,5.715,7.841
[1758203262735997251],,,,0.649,5.835,7.982
[1758203262740946887],,,,0.706,5.76,7.815
[1758203262744875897],,,,0.534,5.746,7.944
[1758203262749146053],,,,0.764,5.88,8.066
[1758203262752892147],,,,0.651,5.854,8.119
[1758203262756555012],,,,0.79,5.844,7.944
[1758203262760228241],,,,0.709,5.679,8.052
[1758203262764763658],,,,0.749,5.816,7.961
[1758203262768598501],,,,0.69,5.679,8.042
[1758203262772322147],,,,0.622,5.787,7.949
[1758203262775975168],,,,0.68,5.863,8.193
[1758203262779627512],,,,0.682,5.813,8.056
[1758203262783311106],,,,0.678,5.856,8.181
[1758203262787015116],,,,0.718,5.906,8.203
[1758203262790718658],,,,0.924,5.66,8.14
[1758203262794382616],,,,0.804,5.722,8.25
[1758203262798043501],,,,0.649,5.792,8.068
[1758203262801762981],,,,0.749,5.696,8.083
[1758203262805440064],,,,0.68,5.72,8.011
[1758203262809207147],,,,0.661,5.657,8.217
[1758203262813038814],,,,0.534,5.689,8.107
[1758203262816713658],,,,0.831,5.741,7.97
[1758203262820459856],,,,0.627,5.775,8.121
[1758203262824367720],,,,0.773,5.768,7.942
[1758203262828079178],,,,0.709,5.799,8.116
[1758203262831843970],,,,0.553,5.777,8.282
