timestamp,frequency_hz
[1758214195023220814],2.85
[1758214195028351387],2.85
[1758214195033555293],2.85
[1758214195038667377],2.85
[1758214195043796439],2.85
[1758214195048899304],2.85
[1758214195054009356],2.85
[1758214195059135189],2.85
[1758214195064282845],2.85
[1758214195069408002],2.85
[1758214195074592220],2.85
[1758214195079775033],2.85
[1758214195084916856],2.85
[1758214195091501335],2.85
[1758214195096846804],2.85
[1758214195101956856],2.85
[1758214195107075658],2.85
[1758214195112225345],2.85
[1758214195117366648],2.85
[1758214195122614304],2.85
[1758214195127776595],2.85
[1758214195133002689],2.85
[1758214195138210033],2.85
[1758214195143330970],2.85
[1758214195148430293],2.85
[1758214195153550293],2.85
[1758214195158654773],2.85
[1758214195163777429],2.85
[1758214195168893314],2.85
[1758214195174363575],2.85
[1758214195179507481],2.85
[1758214195184655450],2.85
[1758214195189900554],2.85
[1758214195196112689],2.85
[1758214195202605085],2.85
[1758214195207939252],2.85
[1758214195214396231],2.85
[1758214195221052637],2.76
[1758214195227754564],2.76
[1758214195233353991],2.76
[1758214195238489564],2.76
[1758214195243616595],2.76
[1758214195248730450],2.76
[1758214195253850658],2.76
[1758214195258941856],2.76
[1758214195264103731],2.76
[1758214195269236491],2.76
[1758214195274502325],2.76
[1758214195279623158],2.76
[1758214195284750918],2.76
[1758214195289900762],2.76
[1758214195295068887],2.76
[1758214195300183210],2.76
[1758214195306360397],2.76
[1758214195312037897],2.76
[1758214195317347272],2.76
[1758214195322559720],2.76
[1758214195327727168],2.76
[1758214195332903262],2.76
[1758214195338001960],2.76
[1758214195343116752],2.76
[1758214195348219772],2.76
[1758214195353389772],2.76
[1758214195358612897],2.76
[1758214195363742220],2.76
[1758214195368849981],2.76
[1758214195374039095],2.76
[1758214195379151231],2.76
[1758214195384283158],2.76
[1758214195389379095],2.76
[1758214195394522845],2.76
[1758214195399626752],2.76
[1758214195404728627],2.76
[1758214195409839929],2.76
[1758214195414959512],2.76
[1758214195421487585],2.76
[1758214195426821179],2.76
[1758214195431983574],2.76
[1758214195437189616],2.76
[1758214195442349356],2.76
[1758214195447481543],2.76
[1758214195452657220],2.76
[1758214195457769616],2.76
[1758214195462984877],2.76
[1758214195468110918],2.76
[1758214195473356595],2.76
[1758214195478492637],2.76
[1758214195483630918],2.76
[1758214195488729408],2.76
[1758214195493838366],2.76
[1758214195498948939],2.76
[1758214195504096960],2.76
[1758214195509185866],2.76
[1758214195514291179],2.76
[1758214195519405658],2.76
[1758214195524990762],2.76
[1758214195530221543],2.76
[1758214195535353002],2.76
[1758214195540451856],2.76
[1758214195545586752],2.76
[1758214195550697272],2.76
[1758214195555815918],2.76
[1758214195560898418],2.76
[1758214195566039095],2.76
[1758214195571187741],2.76
[1758214195576505189],2.82
[1758214195583471387],2.82
[1758214195588730918],2.82
[1758214195593849564],2.82
[1758214195598950189],2.82
[1758214195604085085],2.82
[1758214195609183418],2.82
[1758214195614293679],2.82
[1758214195619404877],2.82
[1758214195624623470],2.82
[1758214195630215866],2.82
[1758214195635447168],2.82
[1758214195640554981],2.82
[1758214195645667168],2.82
[1758214195650763314],2.82
[1758214195655886439],2.82
[1758214195661005762],2.82
[1758214195666109616],2.82
[1758214195671223366],2.82
[1758214195676552272],2.82
[1758214195681717741],2.82
[1758214195686863939],2.82
[1758214195693746439],2.82
[1758214195698979460],2.82
[1758214195704102585],2.82
[1758214195709214824],2.82
[1758214195714352793],2.82
[1758214195719454564],2.82
[1758214195724616647],2.82
[1758214195729725814],2.82
[1758214195735240189],2.82
[1758214195740477116],2.82
[1758214195745618314],2.82
[1758214195750718835],2.82
[1758214195755834147],2.82
[1758214195760946543],2.82
[1758214195766050658],2.82
[1758214195771171647],2.82
[1758214195776407064],2.82
[1758214195781678418],2.82
[1758214195786842116],2.82
[1758214195791944251],2.82
[1758214195797073366],2.82
[1758214195802255970],2.82
[1758214195807383887],2.82
[1758214195812574981],2.82
[1758214195817702845],2.82
[1758214195822931595],2.82
[1758214195828046231],2.82
[1758214195833151543],2.82
[1758214195838243679],2.82
[1758214195843737116],2.82
[1758214195848965762],2.82
[1758214195854084043],2.82
[1758214195859177897],2.82
[1758214195864315501],2.82
[1758214195869426856],2.82
[1758214195874605970],2.82
[1758214195879713418],2.82
[1758214195884909720],2.82
[1758214195890113158],2.82
[1758214195895228783],2.82
[1758214195900332845],2.82
[1758214195905459147],2.82
[1758214195910563939],2.82
[1758214195915669512],2.82
[1758214195920768678],2.82
[1758214195925981439],2.82
[1758214195931097220],2.82
[1758214195936260345],2.78
[1758214195944135658],2.78
[1758214195949785658],2.78
[1758214195955022481],2.78
[1758214195960124720],2.78
[1758214195965258626],2.78
[1758214195970361335],2.78
[1758214195975530085],2.78
[1758214195980641439],2.78
[1758214195985804772],2.78
[1758214195990945189],2.78
[1758214195996152585],2.78
[1758214196001259303],2.78
[1758214196006377220],2.78
[1758214196011471074],2.78
[1758214196016600606],2.78
[1758214196021712897],2.78
[1758214196026902064],2.78
[1758214196032005918],2.78
[1758214196037134564],2.78
[1758214196042291074],2.78
[1758214196047396178],2.78
[1758214196052931439],2.78
[1758214196058172793],2.78
[1758214196063315866],2.78
[1758214196068436699],2.78
[1758214196073631074],2.78
[1758214196078740501],2.78
[1758214196083900762],2.78
[1758214196089046908],2.78
[1758214196094197689],2.78
[1758214196099356022],2.78
[1758214196104536855],2.78
[1758214196109633939],2.78
[1758214196114779355],2.78
[1758214196119903678],2.78
[1758214196125049720],2.78
[1758214196130155605],2.78
[1758214196135299980],2.78
[1758214196140409720],2.78
[1758214196145521126],2.78
[1758214196150620397],2.78
[1758214196155729251],2.78
[1758214196162151699],2.78
[1758214196167462428],2.78
[1758214196173257116],2.78
[1758214196179646803],2.78
[1758214196184914199],2.78
[1758214196190048522],2.78
[1758214196195167585],2.78
[1758214196200255553],2.78
[1758214196205338210],2.78
[1758214196210435866],2.78
[1758214196215567689],2.78
[1758214196220711491],2.78
[1758214196225989355],2.78
[1758214196231090553],2.78
[1758214196236192376],2.78
[1758214196241265085],2.78
[1758214196246404980],2.78
[1758214196251530605],2.78
[1758214196256637637],2.78
[1758214196261745085],2.78
[1758214196266916074],2.78
[1758214196272466491],2.78
[1758214196277666022],2.78
[1758214196282850137],2.78
[1758214196288295553],2.78
[1758214196293444616],2.78
[1758214196298856439],2.78
[1758214196304039251],2.78
[1758214196310267845],2.68
[1758214196316926439],2.68
[1758214196322197741],2.68
[1758214196327348626],2.68
[1758214196332516907],2.68
[1758214196337625189],2.68
[1758214196342743782],2.68
[1758214196347841803],2.68
[1758214196352994355],2.68
[1758214196358102949],2.68
[1758214196363326543],2.68
[1758214196368448470],2.68
[1758214196373657689],2.68
[1758214196379119303],2.68
[1758214196384268887],2.68
[1758214196389393470],2.68
[1758214196394834512],2.68
[1758214196399936907],2.68
[1758214196405010137],2.68
[1758214196410097585],2.68
[1758214196415259095],2.68
[1758214196420496751],2.68
[1758214196425672376],2.68
[1758214196430770918],2.68
[1758214196435910710],2.68
[1758214196441020085],2.68
[1758214196446116595],2.68
[1758214196451219928],2.68
[1758214196456358105],2.68
[1758214196461472324],2.68
[1758214196466682064],2.68
[1758214196471782116],2.68
[1758214196480476439],2.68
[1758214196485847116],2.68
[1758214196491049720],2.68
[1758214196496153574],2.68
[1758214196502574564],2.68
[1758214196507857584],2.68
[1758214196512986282],2.68
[1758214196518099095],2.68
[1758214196523310605],2.68
[1758214196528422428],2.68
[1758214196533511543],2.68
[1758214196538605605],2.68
[1758214196543760397],2.68
[1758214196548961491],2.68
[1758214196554052949],2.68
[1758214196559137741],2.68
[1758214196564282376],2.68
[1758214196569419355],2.68
[1758214196574644928],2.68
[1758214196579747272],2.68
[1758214196584877012],2.68
[1758214196591440189],2.68
[1758214196596696126],2.68
[1758214196601790241],2.68
[1758214196606907116],2.68
[1758214196614329876],2.68
[1758214196619560137],2.68
[1758214196624757584],2.68
[1758214196629856126],2.68
[1758214196635003157],2.68
[1758214196640118834],2.68
[1758214196645247845],2.68
[1758214196650429928],2.68
[1758214196656157845],2.68
[1758214196661339355],2.85
[1758214196666998782],2.85
[1758214196672176126],2.85
[1758214196677369876],2.85
[1758214196682545137],2.85
[1758214196687704616],2.85
[1758214196692976699],2.85
[1758214196699433001],2.85
[1758214196704656699],2.85
[1758214196709768470],2.85
[1758214196714914772],2.85
[1758214196720368991],2.85
[1758214196725571126],2.85
[1758214196730675970],2.85
[1758214196735819459],2.85
[1758214196740946751],2.85
[1758214196746168626],2.85
[1758214196751257741],2.85
[1758214196756336543],2.85
[1758214196761432949],2.85
[1758214196766571699],2.85
[1758214196771673314],2.85
[1758214196776863730],2.85
[1758214196781996126],2.85
[1758214196787261907],2.85
[1758214196792408209],2.85
[1758214196797499095],2.85
[1758214196802676751],2.85
[1758214196809197532],2.85
[1758214196814455657],2.85
[1758214196819565084],2.85
[1758214196824767741],2.85
[1758214196831178991],2.85
[1758214196836329668],2.85
[1758214196841543418],2.85
[1758214196846624459],2.85
[1758214196851719355],2.85
[1758214196856844303],2.85
[1758214196861933522],2.85
[1758214196867036907],2.85
[1758214196872190814],2.85
[1758214196877416647],2.85
[1758214196882686543],2.85
[1758214196887908886],2.85
[1758214196893056959],2.85
[1758214196898174043],2.85
[1758214196903300605],2.85
[1758214196908420970],2.85
[1758214196913921178],2.85
[1758214196919058105],2.85
[1758214196924246699],2.85
[1758214196929354459],2.85
[1758214196934497532],2.85
[1758214196941803730],2.85
[1758214196947223626],2.85
[1758214196952433261],2.85
[1758214196957547220],2.85
[1758214196962723678],2.85
[1758214196967857949],2.85
[1758214196973035501],2.85
[1758214196978135501],2.85
[1758214196983283782],2.85
[1758214196988440501],2.85
[1758214196993655918],2.85
[1758214196998739980],2.85
[1758214197003881855],2.85
[1758214197009049095],2.85
[1758214197014724199],2.85
[1758214197019946699],2.79
[1758214197025658209],2.79
[1758214197030764928],2.79
[1758214197035898366],2.79
[1758214197040980761],2.79
[1758214197047171386],2.79
[1758214197053720501],2.79
[1758214197058945084],2.79
[1758214197064061595],2.79
[1758214197069167063],2.79
[1758214197074373574],2.79
[1758214197079530761],2.79
[1758214197084613366],2.79
[1758214197089737168],2.79
[1758214197094889772],2.79
[1758214197100065136],2.79
[1758214197105159095],2.79
[1758214197110233626],2.79
[1758214197115393730],2.79
[1758214197121893313],2.79
[1758214197127182116],2.79
[1758214197132364095],2.79
[1758214197137550449],2.79
[1758214197142736282],2.79
[1758214197148017428],2.79
[1758214197153105866],2.79
[1758214197158196438],2.79
[1758214197163552324],2.79
[1758214197168785761],2.79
[1758214197173979772],2.79
[1758214197179098574],2.79
[1758214197184220657],2.79
[1758214197189342115],2.79
[1758214197194472011],2.79
[1758214197199567949],2.79
[1758214197204701022],2.79
[1758214197209802168],2.79
[1758214197214924095],2.79
[1758214197220026803],2.79
[1758214197225186438],2.79
[1758214197230643470],2.79
[1758214197235814615],2.79
[1758214197240918313],2.79
[1758214197246050501],2.79
[1758214197251147168],2.79
[1758214197256259511],2.79
[1758214197261339303],2.79
[1758214197266512324],2.79
[1758214197272090501],2.79
[1758214197277318105],2.79
[1758214197282497220],2.79
[1758214197287630188],2.79
[1758214197292834043],2.79
[1758214197297966959],2.79
[1758214197303114407],2.79
[1758214197308211282],2.79
[1758214197313329668],2.79
[1758214197318520865],2.79
[1758214197323713313],2.79
[1758214197328820188],2.79
[1758214197333945032],2.79
[1758214197340473626],2.79
[1758214197345717063],2.79
[1758214197350825032],2.79
[1758214197355950918],2.79
[1758214197361048886],2.79
[1758214197366159147],2.79
[1758214197371330709],2.84
[1758214197377292897],2.84
[1758214197383702949],2.84
[1758214197388964147],2.84
[1758214197394089095],2.84
[1758214197399186907],2.84
[1758214197404308730],2.84
[1758214197409407792],2.84
[1758214197414521438],2.84
[1758214197419630970],2.84
[1758214197424839772],2.84
[1758214197429961386],2.84
[1758214197435153313],2.84
[1758214197440274720],2.84
[1758214197447670917],2.84
[1758214197453200084],2.84
[1758214197458332532],2.84
[1758214197463444928],2.84
[1758214197468567949],2.84
[1758214197473747376],2.84
[1758214197478847584],2.84
[1758214197483941178],2.84
[1758214197489095553],2.84
[1758214197494646282],2.84
[1758214197499845813],2.84
[1758214197504962376],2.84
[1758214197510072167],2.84
[1758214197515204563],2.84
[1758214197520317845],2.84
[1758214197525502532],2.84
[1758214197530613209],2.84
[1758214197535805657],2.84
[1758214197541005761],2.84
[1758214197546119876],2.84
[1758214197552612792],2.84
[1758214197557859772],2.84
[1758214197563101959],2.84
[1758214197568228261],2.84
[1758214197573435761],2.84
[1758214197578545032],2.84
[1758214197583653470],2.84
[1758214197588764251],2.84
[1758214197593926803],2.84
[1758214197599053105],2.84
[1758214197604557584],2.84
[1758214197609721594],2.84
[1758214197614849459],2.84
[1758214197619963938],2.84
[1758214197625155969],2.84
[1758214197630252792],2.84
[1758214197635355501],2.84
[1758214197640457115],2.84
[1758214197645750553],2.84
[1758214197651015292],2.84
[1758214197656129824],2.84
[1758214197661253626],2.84
[1758214197667881751],2.84
[1758214197674271126],2.84
[1758214197679492480],2.84
[1758214197684580136],2.84
[1758214197689719980],2.84
[1758214197694883261],2.84
[1758214197699980240],2.84
[1758214197705090605],2.84
[1758214197711324719],2.84
[1758214197717782844],2.84
[1758214197724199980],2.84
[1758214197729478469],2.84
[1758214197736119355],2.84
[1758214197743601907],2.74
[1758214197750134928],2.74
[1758214197755392532],2.74
[1758214197760497219],2.74
[1758214197765619772],2.74
[1758214197770727480],2.74
[1758214197776211959],2.74
[1758214197781322532],2.74
[1758214197786455657],2.74
[1758214197791568365],2.74
[1758214197796773417],2.74
[1758214197801998001],2.74
[1758214197807109147],2.74
[1758214197812234042],2.74
[1758214197817367688],2.74
[1758214197822711803],2.74
[1758214197827857428],2.74
[1758214197833006386],2.74
[1758214197838106438],2.74
[1758214197843297376],2.74
[1758214197848396959],2.74
[1758214197853549824],2.74
[1758214197858651907],2.74
[1758214197863770136],2.74
[1758214197868885917],2.74
[1758214197874087949],2.74
[1758214197879188053],2.74
[1758214197884641386],2.74
[1758214197889769563],2.74
[1758214197894903157],2.74
[1758214197900010501],2.74
[1758214197905141021],2.74
[1758214197910242011],2.74
[1758214197915345292],2.74
[1758214197920459980],2.74
[1758214197925715553],2.74
[1758214197931263730],2.74
[1758214197936394615],2.74
[1758214197941542324],2.74
[1758214197946675240],2.74
[1758214197951780657],2.74
[1758214197956879615],2.74
[1758214197961975501],2.74
[1758214197967134094],2.74
[1758214197972369719],2.74
[1758214197977880865],2.74
[1758214197983030449],2.74
[1758214197988141490],2.74
[1758214197994497636],2.74
[1758214198000867219],2.74
[1758214198006123469],2.74
[1758214198011216386],2.74
[1758214198016350605],2.74
[1758214198021466907],2.74
[1758214198026646386],2.74
[1758214198031750396],2.74
[1758214198037175032],2.74
[1758214198042368053],2.74
[1758214198047589198],2.74
[1758214198052778365],2.74
[1758214198057880709],2.74
[1758214198063009198],2.74
[1758214198068113521],2.74
[1758214198073293105],2.74
[1758214198078393573],2.74
[1758214198083565865],2.74
[1758214198088805969],2.74
[1758214198094497115],2.74
[1758214198101105709],2.79
[1758214198107464771],2.79
[1758214198113859511],2.79
[1758214198119107376],2.79
[1758214198124288157],2.79
[1758214198129385709],2.79
[1758214198134505813],2.79
[1758214198139603938],2.79
[1758214198146950761],2.79
[1758214198152474407],2.79
[1758214198157627428],2.79
[1758214198162798157],2.79
[1758214198167997688],2.79
[1758214198173192844],2.79
[1758214198178299094],2.79
[1758214198183418730],2.79
[1758214198188519042],2.79
[1758214198193687688],2.79
[1758214198198866542],2.79
[1758214198204000605],2.79
[1758214198209449667],2.79
[1758214198214594615],2.79
[1758214198219712636],2.79
[1758214198224892376],2.79
[1758214198230015032],2.79
[1758214198235116855],2.79
[1758214198240214980],2.79
[1758214198245318782],2.79
[1758214198250501594],2.79
[1758214198256134771],2.79
[1758214198261306021],2.79
[1758214198266450032],2.79
[1758214198271570605],2.79
[1758214198276767167],2.79
[1758214198281863573],2.79
[1758214198286934823],2.79
[1758214198292085136],2.79
[1758214198297270761],2.79
[1758214198302496594],2.79
[1758214198307610553],2.79
[1758214198312805188],2.79
[1758214198318318417],2.79
[1758214198323544615],2.79
[1758214198328669667],2.79
[1758214198333842792],2.79
[1758214198338964615],2.79
[1758214198344060709],2.79
[1758214198349161855],2.79
[1758214198354307532],2.79
[1758214198359526282],2.79
[1758214198365056021],2.79
[1758214198375123261],2.79
[1758214198380247948],2.79
[1758214198385373521],2.79
[1758214198390478990],2.79
[1758214198395580605],2.79
[1758214198400675240],2.79
[1758214198405849355],2.79
[1758214198411085813],2.79
[1758214198416220865],2.79
[1758214198421340605],2.79
[1758214198426843834],2.79
[1758214198431956907],2.79
[1758214198437053834],2.79
[1758214198442214198],2.79
[1758214198447412740],2.79
[1758214198456675240],2.77
[1758214198462075969],2.77
[1758214198467695865],2.77
[1758214198472942792],2.77
[1758214198478033157],2.77
[1758214198483172896],2.77
[1758214198488267844],2.77
[1758214198493393730],2.77
[1758214198498565188],2.77
[1758214198503733625],2.77
[1758214198510144042],2.77
[1758214198516995761],2.77
[1758214198523752323],2.77
[1758214198530347427],2.77
[1758214198536814250],2.77
[1758214198542070813],2.77
[1758214198547219042],2.77
[1758214198552391594],2.77
[1758214198557533209],2.77
[1758214198563842480],2.77
[1758214198569119615],2.77
[1758214198574618886],2.77
[1758214198579752532],2.77
[1758214198584884563],2.77
[1758214198590010448],2.77
[1758214198595136282],2.77
[1758214198600265605],2.77
[1758214198605442532],2.77
[1758214198610674302],2.77
[1758214198615807584],2.77
[1758214198620924094],2.77
[1758214198626134042],2.77
[1758214198631255709],2.77
[1758214198636685969],2.77
[1758214198641813573],2.77
[1758214198646997115],2.77
[1758214198652312532],2.77
[1758214198657453521],2.77
[1758214198662629459],2.77
[1758214198667742636],2.77
[1758214198672981490],2.77
[1758214198678116230],2.77
[1758214198683584511],2.77
[1758214198688724615],2.77
[1758214198693974615],2.77
[1758214198699108261],2.77
[1758214198704249875],2.77
[1758214198709350448],2.77
[1758214198714478157],2.77
[1758214198719602115],2.77
[1758214198724819927],2.77
[1758214198729938677],2.77
[1758214198735131750],2.77
[1758214198740252219],2.77
[1758214198746742479],2.77
[1758214198751952323],2.77
[1758214198757066490],2.77
[1758214198762247584],2.77
[1758214198767402323],2.77
[1758214198772624927],2.77
[1758214198777790969],2.77
[1758214198782974094],2.77
[1758214198788101490],2.77
[1758214198794722271],2.77
