timestamp,frequency_hz
[1758202912452052084],1.29
[1758202912457131146],1.29
[1758202912462289844],1.29
[1758202912467676875],1.29
[1758202912472948750],1.29
[1758202912478148803],1.29
[1758202912483229896],1.29
[1758202912488312240],1.29
[1758202912493450417],1.29
[1758202912498501407],1.29
[1758202912503552240],1.29
[1758202912508696355],1.29
[1758202912513943490],1.29
[1758202912519113959],1.29
[1758202912524257448],1.29
[1758202912530801198],1.29
[1758202912536032188],1.29
[1758202912541130209],1.29
[1758202912546201563],1.29
[1758202912551281459],1.29
[1758202912556351615],1.29
[1758202912561489740],1.29
[1758202912566568021],1.29
[1758202912571697761],1.29
[1758202912577228698],1.29
[1758202912582376823],1.29
[1758202912587484740],1.29
[1758202912592590573],1.29
[1758202912597701198],1.29
[1758202912602793959],1.29
[1758202912607880053],1.29
[1758202912613111928],1.29
[1758202912618208438],1.29
[1758202912623433334],1.29
[1758202912628520625],1.29
[1758202912633586615],1.29
[1758202912638664063],1.29
[1758202912645177084],1.29
[1758202912650453438],1.29
[1758202912655542344],1.29
[1758202912660741303],1.29
[1758202912665862240],1.29
[1758202912670946355],1.29
[1758202912676019167],1.29
[1758202912681093282],1.29
[1758202912687361459],1.29
[1758202912692825625],1.29
[1758202912697920834],1.29
[1758202912703007448],1.29
[1758202912708089063],1.29
[1758202912713271198],1.29
[1758202912718345625],1.29
[1758202912723425000],1.29
[1758202912728499167],1.29
[1758202912733605261],1.29
[1758202912738670313],1.29
[1758202912743805938],1.29
[1758202912748880417],1.29
[1758202912754425052],1.29
[1758202912759547917],1.29
[1758202912764746042],1.29
[1758202912769793438],1.29
[1758202912774864480],1.29
[1758202912779902032],1.29
[1758202912785000730],1.29
[1758202912790149375],1.29
[1758202912795285469],1.29
[1758202912800915313],1.29
[1758202912809046875],1.29
[1758202912814419584],1.29
[1758202912819525625],1.29
[1758202912824641198],1.29
[1758202912829722709],1.29
[1758202912834830000],1.29
[1758202912839943750],1.29
[1758202912845180417],1.29
[1758202912850315521],1.29
[1758202912855423282],1.29
[1758202912861847552],1.29
[1758202912867065990],1.29
[1758202912872126459],1.29
[1758202912877170730],1.29
[1758202912882266979],1.29
[1758202912887317396],1.29
[1758202912892373594],1.29
[1758202912897459792],1.29
[1758202912902665625],1.29
[1758202912908285209],1.29
[1758202912913453073],1.29
[1758202912918546927],1.29
[1758202912923656198],1.29
[1758202912928712500],1.29
[1758202912933770834],1.29
[1758202912938965677],1.29
[1758202912944131563],1.29
[1758202912949221354],1.29
[1758202912954420782],1.29
[1758202912959534532],1.29
[1758202912964701667],1.29
[1758202912970350990],1.29
[1758202912975448594],1.29
[1758202912980653490],1.29
[1758202912985849479],1.29
[1758202912991012188],1.29
[1758202912996103594],1.29
[1758202913001232500],1.29
[1758202913006401563],1.29
[1758202913011657032],1.29
[1758202913018021615],1.29
[1758202913023213125],1.29
[1758202913028289063],1.29
[1758202913033419323],1.29
[1758202913038475886],1.29
