timestamp,frequency_hz
[1758212970295502740],6.19
[1758212970300615604],6.19
[1758212970305787896],6.19
[1758212970313297688],6.19
[1758212970318593573],6.19
[1758212970324985083],6.19
[1758212970330240240],6.19
[1758212970335386542],6.19
[1758212970340472063],6.19
[1758212970345592948],6.19
[1758212970350694511],6.19
[1758212970355868104],6.19
[1758212970361071802],6.19
[1758212970366264302],6.19
[1758212970371416646],6.19
[1758212970376650188],6.19
[1758212970383251125],6.19
[1758212970388511125],6.19
[1758212970393639042],6.19
[1758212970398746386],6.19
[1758212970403934927],6.19
[1758212970409034250],6.19
[1758212970414134771],6.19
[1758212970419225656],6.19
[1758212970424394563],6.19
[1758212970429965344],6.19
[1758212970435129667],6.19
[1758212970440227323],6.19
[1758212970445347636],6.19
[1758212970450448886],6.19
[1758212970455664771],6.19
[1758212970460792063],6.19
[1758212970465946125],6.19
[1758212970471040448],6.19
[1758212970476232375],6.19
[1758212970481323781],6.19
[1758212970486432323],6.19
[1758212970491877896],6.19
[1758212970497018677],6.19
[1758212970502260761],6.19
[1758212970507482688],6.19
[1758212970512643417],6.19
[1758212970517760448],6.19
[1758212970522985813],6.19
[1758212970528099042],6.19
[1758212970533328261],6.19
[1758212970539771125],6.19
[1758212970545074979],6.19
[1758212970550224979],6.19
[1758212970555402896],6.19
[1758212970560513469],6.19
[1758212970565638000],6.19
[1758212970570735031],6.19
[1758212970575854927],6.19
[1758212970580961229],6.19
[1758212970586105656],6.19
[1758212970591290813],6.19
[1758212970596414198],6.19
[1758212970602931333],6.19
[1758212970608132323],6.19
[1758212970613348885],6.19
[1758212970618497583],6.19
[1758212970623652323],6.19
[1758212970628801750],6.19
[1758212970633940344],6.19
[1758212970639065083],6.19
[1758212970644528833],6.19
[1758212970649686281],6.19
[1758212970654981750],6.19
[1758212970660090865],6.19
[1758212970665182323],6.19
[1758212970670330292],6.19
[1758212970675485969],6.19
[1758212970680574094],6.19
[1758212970685682740],6.19
[1758212970690799406],6.19
[1758212970696071073],6.19
[1758212970701207375],6.19
[1758212970706759979],6.19
[1758212970711888521],6.19
[1758212970716988313],6.19
[1758212970722105031],6.19
[1758212970727315552],6.19
[1758212970732509354],6.19
[1758212970737662583],6.19
[1758212970742840448],6.19
[1758212970748003938],6.19
[1758212970753650448],6.19
[1758212970758790240],6.19
[1758212970763931698],6.19
[1758212970769036958],6.19
[1758212970774175292],6.19
[1758212970779283625],6.19
[1758212970784403781],6.19
[1758212970789505240],6.19
[1758212970794748260],6.19
[1758212970800004771],6.19
[1758212970805218677],6.19
[1758212970810351594],6.19
[1758212970815628729],6.19
[1758212970820739510],6.19
[1758212970825861750],6.19
[1758212970830977948],6.19
[1758212970836149198],6.19
[1758212970841269250],6.19
[1758212970846399667],6.19
[1758212970851578885],6.19
[1758212970856813312],6.19
[1758212970862409510],6.19
[1758212970867556750],6.19
[1758212970872745865],6.19
[1758212970877895604],6.19
[1758212970883017219],6.19
[1758212970888121594],6.19
[1758212970893254927],6.19
[1758212970898368469],6.19
[1758212970903625969],6.19
[1758212970908804979],6.19
[1758212970913934302],6.19
[1758212970919038573],6.19
[1758212970924592375],6.19
[1758212970929795083],6.19
[1758212970934941542],6.19
[1758212970940140396],6.19
[1758212970945281802],6.19
[1758212970950394719],6.19
[1758212970955612635],6.19
[1758212970960732167],6.19
[1758212970965926646],6.19
[1758212970971543625],6.19
[1758212970976728156],6.19
[1758212970981924823],6.19
[1758212970987077635],6.19
[1758212970994423573],6.19
[1758212970999581229],6.19
[1758212971004781177],6.19
[1758212971009891906],6.19
[1758212971015077375],6.19
[1758212971020341333],6.19
[1758212971025492531],6.19
[1758212971031964667],6.19
[1758212971037232010],6.19
[1758212971042396854],6.19
[1758212971047512167],6.19
[1758212971052729406],6.19
[1758212971057883781],6.19
[1758212971063001021],6.19
[1758212971068115552],6.19
[1758212971073293000],6.19
[1758212971079111854],6.19
[1758212971084285812],6.19
[1758212971089391750],6.19
[1758212971094521698],6.19
[1758212971099631958],6.19
[1758212971104842114],6.19
[1758212971109959562],6.19
[1758212971115153156],6.19
[1758212971120318625],6.19
[1758212971125565969],6.19
[1758212971130716854],6.19
[1758212971137163833],6.19
[1758212971143622739],6.19
[1758212971148885812],6.19
[1758212971154097062],6.19
[1758212971159205344],6.19
[1758212971164337167],6.19
[1758212971169427948],6.19
[1758212971174544406],6.19
[1758212971179647844],6.19
[1758212971185131854],6.19
[1758212971190379406],6.19
[1758212971195579406],6.19
[1758212971200691281],6.19
[1758212971205899250],6.19
[1758212971211008937],6.19
[1758212971216145864],6.19
[1758212971221252739],6.19
[1758212971226427219],6.19
[1758212971231649771],6.19
[1758212971236792531],6.19
[1758212971241904041],6.19
[1758212971247587948],6.19
[1758212971254007375],6.19
[1758212971259253521],6.19
[1758212971264368573],6.19
[1758212971269457687],6.19
[1758212971274593052],6.19
[1758212971279751698],6.19
[1758212971284907948],6.19
[1758212971290366541],6.19
[1758212971295573052],6.19
[1758212971300811958],6.19
[1758212971306014510],6.19
[1758212971311129458],6.19
[1758212971316325552],6.19
[1758212971321434354],6.19
[1758212971326569458],6.19
[1758212971331722323],6.19
[1758212971336885344],6.19
[1758212971342088625],6.19
[1758212971347229094],6.19
[1758212971352888677],6.19
[1758212971358101541],6.19
[1758212971363219406],6.19
[1758212971368319510],6.19
[1758212971373444614],6.19
[1758212971378552844],6.19
[1758212971383663677],6.19
[1758212971388786125],6.19
[1758212971393990083],6.19
[1758212971400455916],6.19
[1758212971406023104],6.19
[1758212971411147323],6.19
[1758212971416301437],6.19
[1758212971421417166],6.19
[1758212971426516489],6.19
[1758212971431675864],6.19
[1758212971436864771],6.19
[1758212971442003729],6.19
[1758212971447251229],6.19
[1758212971452447896],6.19
[1758212971457635812],6.19
[1758212971465411854],6.19
[1758212971470711385],6.19
[1758212971475836437],6.19
[1758212971480940552],6.19
[1758212971486073885],6.19
[1758212971491164510],6.19
[1758212971496286073],6.19
[1758212971501389093],6.19
[1758212971506585343],6.19
[1758212971512247271],6.19
[1758212971518649146],6.19
[1758212971523893833],6.19
[1758212971529020396],6.19
[1758212971534168468],6.19
[1758212971539294614],6.19
[1758212971544404614],6.19
[1758212971549521593],6.19
[1758212971554730187],6.19
[1758212971559858052],6.19
[1758212971565090812],6.19
[1758212971570217791],6.19
[1758212971575757166],6.19
[1758212971580935343],6.19
[1758212971586055343],6.19
[1758212971591162323],6.19
[1758212971596290916],6.19
[1758212971601401489],6.19
[1758212971606594250],6.19
[1758212971611704927],6.19
[1758212971616878000],6.19
[1758212971622087375],6.19
[1758212971628618208],6.19
[1758212971633876854],6.19
[1758212971639004198],6.19
[1758212971644123364],6.19
[1758212971649236750],6.19
[1758212971654437010],6.19
[1758212971659533729],6.19
[1758212971664678364],6.19
[1758212971669829927],6.19
[1758212971675075500],6.19
[1758212971680342583],6.19
[1758212971685939406],6.19
[1758212971691069875],6.19
[1758212971696220083],6.19
[1758212971701327062],6.19
[1758212971706533208],6.19
[1758212971711649770],6.19
[1758212971716780239],6.19
[1758212971721891645],6.19
[1758212971728467166],6.19
[1758212971734039302],6.19
[1758212971739223156],6.19
[1758212971744356125],6.19
[1758212971749463625],6.19
[1758212971754647166],6.19
[1758212971759748625],6.19
[1758212971764891385],6.19
[1758212971770012166],6.19
[1758212971775244614],6.19
[1758212971780354979],6.19
[1758212971785473520],6.19
[1758212971791808468],6.19
[1758212971797092375],6.19
[1758212971802348468],6.19
[1758212971807555448],6.19
[1758212971812736593],6.19
[1758212971817885239],6.19
[1758212971823024458],6.19
[1758212971828135291],6.19
[1758212971833644614],6.19
[1758212971838905604],6.19
[1758212971844057948],6.19
[1758212971849176229],6.19
[1758212971854385343],6.19
[1758212971859493468],6.19
[1758212971864592895],6.19
[1758212971869749354],6.19
[1758212971874923364],6.19
[1758212971880135395],6.19
[1758212971885334562],6.19
[1758212971890453885],6.19
[1758212971895591697],6.19
[1758212971902277270],6.19
[1758212971908663572],6.19
[1758212971913914093],6.19
[1758212971919025500],6.19
[1758212971924165916],6.19
[1758212971929259875],6.19
[1758212971934418156],6.19
[1758212971940835135],6.19
[1758212971946121489],6.19
[1758212971951234718],6.19
[1758212971956415187],6.19
[1758212971961550187],6.19
[1758212971966718416],6.19
[1758212971971834406],6.19
[1758212971976994510],6.19
[1758212971982260083],6.19
[1758212971987485864],6.19
[1758212971992654718],6.19
[1758212971997761020],6.19
[1758212972003032166],6.19
[1758212972008537739],6.19
[1758212972013687791],6.19
[1758212972018800395],6.19
[1758212972023954562],6.19
[1758212972029108833],6.19
[1758212972034311958],6.19
[1758212972039449770],6.19
[1758212972044597843],6.19
[1758212972050043833],6.19
[1758212972055332114],6.19
[1758212972060433833],6.19
[1758212972065554614],6.19
[1758212972070659614],6.19
[1758212972075763624],6.19
[1758212972080862843],6.19
[1758212972086017999],6.19
[1758212972091138156],6.19
[1758212972096337791],6.19
[1758212972101450187],6.19
[1758212972106649874],6.19
[1758212972111755864],6.19
[1758212972121419302],6.19
[1758212972127871020],6.19
[1758212972134228572],6.19
[1758212972139480968],6.19
[1758212972144634197],6.19
[1758212972149762062],6.19
[1758212972156177687],6.19
[1758212972161411229],6.19
[1758212972166522427],6.19
[1758212972171638572],6.19
[1758212972176812843],6.19
[1758212972181918416],6.19
[1758212972187021854],6.19
[1758212972192160135],6.19
[1758212972197308260],6.19
[1758212972202770343],6.19
[1758212972207980812],6.19
[1758212972213105395],6.19
[1758212972218208989],6.19
[1758212972223341281],6.19
[1758212972229753885],6.19
[1758212972236049874],6.19
[1758212972241236697],6.19
