timestamp,frequency_hz
[1758212842713790497],23.94
[1758212842718907580],23.94
[1758212842724082736],23.94
[1758212842729487424],23.94
[1758212842734620497],23.94
[1758212842739751643],23.94
[1758212842744925445],23.94
[1758212842750065236],23.94
[1758212842755345497],23.94
[1758212842760457372],23.94
[1758212842765584038],23.94
[1758212842770684611],23.94
[1758212842775763257],23.94
[1758212842780868934],23.94
[1758212842786023986],23.94
[1758212842791144611],23.94
[1758212842796366122],23.94
[1758212842803010236],23.94
[1758212842808283465],23.94
[1758212842813374455],23.94
[1758212842818506226],23.94
[1758212842823655705],23.94
[1758212842828778465],23.94
[1758212842833939143],23.94
[1758212842839404038],23.94
[1758212842844580913],23.94
[1758212842849828153],23.94
[1758212842855008674],23.94
[1758212842860116799],23.94
[1758212842865247684],23.94
[1758212842870354299],23.94
[1758212842875465445],23.94
[1758212842880581122],23.94
[1758212842885757215],23.94
[1758212842890966590],23.94
[1758212842896108986],23.94
[1758212842901250445],23.94
[1758212842906480028],23.94
[1758212842913907736],23.94
[1758212842919193986],23.94
[1758212842924331955],23.94
[1758212842929437163],23.94
[1758212842934566747],23.94
[1758212842939728413],23.94
[1758212842945367007],23.94
[1758212842950531590],23.94
[1758212842955740393],23.94
[1758212842960874924],23.94
[1758212842966021278],23.94
[1758212842971144559],23.94
[1758212842976261382],23.94
[1758212842981395288],23.94
[1758212842986572267],23.94
[1758212842991787163],23.94
[1758212842996984924],23.94
[1758212843002192684],23.94
[1758212843007411434],23.94
[1758212843012653153],23.94
[1758212843018146278],23.94
[1758212843023615861],23.94
[1758212843029940132],23.94
[1758212843036267163],23.94
[1758212843041573517],23.94
[1758212843046761278],23.94
[1758212843052244090],23.94
[1758212843057447945],23.94
[1758212843062634038],23.94
[1758212843067738361],23.94
[1758212843072917372],23.94
[1758212843078094559],23.94
[1758212843083325549],23.94
[1758212843088430757],23.94
[1758212843093551486],23.94
[1758212843098674090],23.94
[1758212843103854351],23.94
[1758212843108966955],23.94
[1758212843114146799],23.94
[1758212843119341382],23.94
[1758212843124628309],23.94
[1758212843130136799],23.94
[1758212843135390705],23.94
[1758212843140507372],23.94
[1758212843145639351],23.94
[1758212843150760288],23.94
[1758212843156025809],23.94
[1758212843162346955],23.94
[1758212843168790497],23.94
[1758212843174040809],23.94
[1758212843179180549],23.94
[1758212843184331382],23.94
[1758212843189438465],23.94
[1758212843194588049],23.94
[1758212843199750497],23.94
[1758212843204951955],23.94
[1758212843210088205],23.94
[1758212843215297163],23.94
[1758212843220406069],23.94
[1758212843225549351],23.94
[1758212843230688465],23.94
[1758212843236280236],23.94
[1758212843241412059],23.94
[1758212843246546330],23.94
