timestamp,frequency_hz
[1758202945481877436],11.07
[1758202945487775821],11.07
[1758202945492972957],11.07
[1758202945498058425],11.07
[1758202945503219727],11.07
[1758202945508375613],11.07
[1758202945514955665],11.07
[1758202945520217748],11.07
[1758202945525360613],11.07
[1758202945530498477],11.07
[1758202945535584259],11.07
[1758202945540683790],11.07
[1758202945545807488],11.07
[1758202945552136342],11.07
[1758202945557392123],10.31
[1758202945563207175],10.31
[1758202945568317905],10.31
[1758202945573507696],10.31
[1758202945578573842],10.31
[1758202945583654207],10.31
[1758202945588715457],10.31
[1758202945593795352],10.31
[1758202945598991030],10.31
[1758202945605586915],10.31
[1758202945610854259],10.31
[1758202945615955821],10.31
[1758202945621124571],10.31
[1758202945626200717],10.31
[1758202945631284050],10.31
[1758202945636485717],12.62
[1758202945643332071],12.62
[1758202945648525561],12.62
[1758202945653615404],12.62
[1758202945658718634],12.62
[1758202945664970717],12.62
[1758202945671630352],12.62
[1758202945676843529],12.62
[1758202945681928894],12.62
[1758202945686999832],12.62
[1758202945692097071],12.62
[1758202945697170925],12.62
[1758202945702310977],12.62
[1758202945707418061],12.62
[1758202945712869988],12.62
[1758202945718098738],12.62
[1758202945723346029],12.62
[1758202945729591342],10.65
[1758202945737311863],10.65
[1758202945742555040],10.65
[1758202945747702227],10.65
[1758202945752833425],10.65
[1758202945757905092],10.65
[1758202945762980769],10.65
[1758202945768055352],10.65
[1758202945773245977],10.65
[1758202945780734467],10.65
[1758202945785976550],10.65
[1758202945791056446],10.65
[1758202945796116290],10.65
[1758202945801257019],10.65
[1758202945806424727],13.15
[1758202945813347175],13.15
[1758202945818562436],13.15
[1758202945823726967],13.15
[1758202945828796290],13.15
[1758202945833879832],13.15
[1758202945838938998],13.15
[1758202945844026394],13.15
[1758202945849088998],13.15
[1758202945854216238],13.15
[1758202945859330040],13.15
[1758202945864494154],13.15
[1758202945869566706],13.15
[1758202945874708061],13.15
[1758202945879791811],13.15
[1758202945886571706],13.15
[1758202945892267904],11.69
[1758202945899071654],11.69
[1758202945905881446],11.69
[1758202945911282331],11.69
[1758202945916366081],11.69
[1758202945923083373],11.69
[1758202945929561238],11.69
[1758202945934768269],11.69
[1758202945939811602],11.69
[1758202945944877540],11.69
[1758202945949955509],11.69
[1758202945955058217],11.69
[1758202945960149154],11.69
[1758202945965202540],11.69
[1758202945970339311],11.69
[1758202945975541967],11.99
[1758202945981503269],11.99
[1758202945986664884],11.99
[1758202945992026081],11.99
[1758202945997188009],11.99
[1758202946002310352],11.99
[1758202946007466029],11.99
[1758202946013908113],11.99
[1758202946019115456],11.99
[1758202946024206811],11.99
[1758202946029282592],11.99
[1758202946034716446],11.99
[1758202946039782384],11.99
[1758202946044946446],11.99
[1758202946050133998],11.99
[1758202946055281342],11.99
[1758202946060601186],11.75
[1758202946066421081],11.75
[1758202946071553217],11.75
[1758202946076639206],11.75
[1758202946081836706],11.75
[1758202946086902175],11.75
[1758202946092031967],11.75
[1758202946098256342],11.75
[1758202946103519571],11.75
[1758202946108617956],11.75
[1758202946113688686],11.75
[1758202946118731394],11.75
[1758202946123817904],11.75
[1758202946128900665],11.75
[1758202946134073738],11.75
[1758202946139144727],11.75
[1758202946144664363],11.75
[1758202946150431029],11.87
[1758202946155577331],11.87
[1758202946160741602],11.87
[1758202946165858321],11.87
[1758202946170927800],11.87
[1758202946175989154],11.87
[1758202946181195352],11.87
[1758202946186458321],11.87
[1758202946191556550],11.87
[1758202946196629623],11.87
[1758202946201732071],11.87
[1758202946206814675],11.87
[1758202946212157071],11.87
[1758202946217229988],11.87
[1758202946222327748],11.87
[1758202946227430352],11.87
[1758202946232738581],11.39
[1758202946238547696],11.39
[1758202946243685196],11.39
[1758202946248773842],11.39
[1758202946255238686],11.39
[1758202946260613894],11.39
[1758202946265709623],11.39
[1758202946270841602],11.39
[1758202946275917488],11.39
[1758202946281063321],11.39
[1758202946286135769],11.39
[1758202946291238842],11.39
[1758202946296329623],11.39
[1758202946301502748],11.39
[1758202946306581758],11.39
[1758202946311698477],11.39
[1758202946317535821],12.34
[1758202946322788165],12.34
[1758202946327898269],12.34
[1758202946333070300],12.34
[1758202946338138217],12.34
[1758202946343214519],12.34
[1758202946348293269],12.34
[1758202946353389727],12.34
[1758202946358468842],12.34
[1758202946364933738],12.34
[1758202946370263529],12.34
[1758202946375364779],12.34
[1758202946380592123],12.34
[1758202946385716133],12.34
[1758202946390856394],12.34
[1758202946395949727],12.34
[1758202946401231706],11.42
[1758202946407186706],11.42
[1758202946412432696],11.42
[1758202946417519935],11.42
[1758202946422624102],11.42
[1758202946428823790],11.42
[1758202946434391081],11.42
[1758202946439530717],11.42
[1758202946444674102],11.42
[1758202946449749363],11.42
[1758202946454859988],11.42
[1758202946459934154],11.42
[1758202946465025613],11.42
[1758202946472188842],11.42
[1758202946477429415],11.42
[1758202946482668529],12.3
[1758202946488274258],12.3
[1758202946493447904],12.3
[1758202946498505196],12.3
[1758202946503561133],12.3
[1758202946508644206],12.3
[1758202946513779988],12.3
[1758202946518984102],12.3
[1758202946524078633],12.3
[1758202946529150560],12.3
[1758202946534323321],12.3
[1758202946541797435],12.3
[1758202946547147748],12.3
[1758202946552227956],12.3
[1758202946557290821],12.3
[1758202946562417487],12.3
[1758202946567565873],11.74
[1758202946575444362],11.74
[1758202946580814935],11.74
[1758202946585909935],11.74
[1758202946591014519],11.74
[1758202946596093008],11.74
[1758202946601140040],11.74
[1758202946606182800],11.74
[1758202946611300612],11.74
[1758202946616374258],11.74
[1758202946621453633],11.74
[1758202946626538790],11.74
[1758202946631692540],11.74
[1758202946636752540],11.74
[1758202946641876342],11.74
[1758202946647360717],11.74
[1758202946652551081],11.74
[1758202946658840508],11.74
[1758202946665499467],10.94
[1758202946671980821],10.94
[1758202946677354831],10.94
