[1758210031833784187],,,,3.017,9.527,-0.304
[1758210031840284344],,,,3.029,9.646,-0.232
[1758210031846945437],,,,3.026,9.567,-0.335
[1758210031853369448],,,,3.0,9.503,-0.333
[1758210031859890437],,,,3.014,9.567,-0.292
[1758210031865716844],,,,2.95,9.493,0.022
[1758210031872477052],,,,3.007,9.637,-0.311
[1758210031879182364],,,,3.033,9.613,-0.211
[1758210031885665646],,,,3.141,9.479,-0.148
[1758210031892072417],,,,3.091,9.491,-0.299
[1758210031898366739],,,,2.964,9.543,-0.17
[1758210031904791479],,,,3.077,9.577,-0.275
[1758210031911245489],,,,3.031,9.586,-0.18
[1758210031917510542],,,,2.988,9.507,-0.23
[1758210031924316323],,,,2.99,9.507,-0.208
[1758210031930804344],,,,2.976,9.562,-0.283
[1758210031937191167],,,,2.988,9.51,-0.294
[1758210031943652208],,,,3.0,9.646,-0.175
[1758210031950100333],,,,3.033,9.601,-0.268
[1758210031956467104],,,,2.871,9.546,-0.407
[1758210031962789448],,,,2.988,9.524,-0.156
[1758210031969381479],,,,3.191,9.541,-0.29
[1758210031975784969],,,,2.988,9.546,-0.268
[1758210031982207521],,,,3.06,9.505,-0.196
[1758210031988622312],,,,2.964,9.594,-0.007
[1758210031995000542],,,,3.005,9.534,-0.213
[1758210032001455073],,,,3.151,9.529,-0.227
[1758210032007846062],,,,2.837,9.57,-0.359
[1758210032014261948],,,,2.99,9.543,-0.294
[1758210032020736114],,,,3.024,9.503,-0.22
[1758210032027162156],,,,2.981,9.404,-0.17
[1758210032033566583],,,,2.957,9.622,-0.287
[1758210032039973771],,,,3.024,9.536,-0.23
[1758210032046416739],,,,3.0,9.601,-0.297
[1758210032052838198],,,,3.021,9.577,0.01
[1758210032059269344],,,,3.12,9.582,-0.385
[1758210032065714708],,,,2.993,9.534,-0.069
[1758210032072132052],,,,3.05,9.519,-0.453
[1758210032078572260],,,,3.021,9.574,-0.194
[1758210032084839031],,,,3.048,9.536,-0.211
[1758210032091343823],,,,3.048,9.62,-0.22
[1758210032097630906],,,,3.017,9.649,-0.136
[1758210032104387052],,,,3.026,9.591,-0.215
[1758210032110880437],,,,3.184,9.572,-0.184
[1758210032117298719],,,,2.95,9.591,-0.299
[1758210032123745125],,,,3.163,9.601,-0.235
[1758210032130088354],,,,3.024,9.498,-0.311
[1758210032136556948],,,,3.017,9.503,-0.175
[1758210032142789812],,,,2.976,9.582,-0.16
[1758210032149320854],,,,3.043,9.51,-0.266
[1758210032156121219],,,,3.12,9.524,-0.18
[1758210032161938666],,,,3.187,9.522,-0.215
[1758210032168181635],,,,3.079,9.493,-0.268
[1758210032174728562],,,,2.995,9.534,-0.218
[1758210032181457260],,,,3.033,9.424,-0.251
[1758210032187907937],,,,2.988,9.589,-0.373
[1758210032194323406],,,,3.005,9.491,-0.292
[1758210032200677364],,,,2.988,9.57,-0.385
[1758210032207059552],,,,3.021,9.503,-0.187
[1758210032213316844],,,,3.002,9.522,-0.201
[1758210032219702989],,,,3.019,9.57,-0.158
[1758210032226398875],,,,3.031,9.608,-0.223
[1758210032232787416],,,,2.995,9.519,-0.266
[1758210032239257885],,,,3.199,9.543,-0.163
[1758210032245712989],,,,3.201,9.565,-0.17
[1758210032252161166],,,,3.012,9.586,-0.175
[1758210032258468718],,,,3.021,9.522,-0.242
[1758210032264902573],,,,3.033,9.515,-0.151
[1758210032271412000],,,,3.0,9.488,-0.199
[1758210032277705385],,,,3.065,9.555,-0.254
[1758210032284297468],,,,3.021,9.536,-0.287
[1758210032290957312],,,,3.002,9.531,-0.314
[1758210032297212104],,,,3.01,9.615,-0.029
[1758210032303735593],,,,3.007,9.574,-0.405
[1758210032310398614],,,,3.012,9.519,-0.139
[1758210032316833198],,,,2.998,9.56,-0.18
[1758210032323243823],,,,3.01,9.503,-0.28
[1758210032329723510],,,,2.995,9.378,-0.218
[1758210032336175229],,,,3.007,9.543,-0.35
[1758210032342630021],,,,2.995,9.637,-0.16
[1758210032349139083],,,,3.012,9.582,-0.019
[1758210032355467312],,,,3.036,9.567,-0.113
[1758210032362257364],,,,3.0,9.531,-0.227
[1758210032368680906],,,,3.055,9.608,-0.036
[1758210032375104916],,,,3.031,9.637,-0.218
[1758210032381359396],,,,2.966,9.529,-0.194
[1758210032387792000],,,,3.11,9.627,-0.321
[1758210032394112781],,,,3.019,9.55,-0.297
[1758210032400937364],,,,3.007,9.546,-0.448
[1758210032407340177],,,,3.189,9.56,-0.153
[1758210032413776114],,,,3.012,9.519,-0.23
