timestamp,frequency_hz
[1758212465962477880],0.29
[1758212465967599911],0.29
[1758212465972798401],0.29
[1758212465978036422],0.29
[1758212465983126213],0.29
[1758212465988214338],0.29
[1758212465993362568],0.29
[1758212465998489130],0.29
[1758212466003643557],0.29
[1758212466008733713],0.29
[1758212466013906474],0.29
[1758212466019100953],0.29
[1758212466024214234],0.29
[1758212466029542359],0.29
[1758212466034704234],0.29
[1758212466039799703],0.29
[1758212466044953088],0.29
[1758212466050073557],0.29
[1758212466055288713],0.29
[1758212466060413140],0.29
[1758212466065868870],0.29
[1758212466071035693],0.29
[1758212466076269755],0.29
[1758212466081397307],0.29
[1758212466086548557],0.29
[1758212466091658245],0.29
[1758212466096781474],0.29
[1758212466101896630],0.29
[1758212466107125745],0.29
[1758212466112357984],0.29
[1758212466117587255],0.29
[1758212466122739130],0.29
[1758212466127903349],0.29
[1758212466133079703],0.29
[1758212466138649651],0.29
[1758212466143794599],0.29
[1758212466148915172],0.29
[1758212466154117984],0.29
[1758212466159229495],0.29
[1758212466164353088],0.29
[1758212466169464495],0.29
[1758212466177717620],0.29
[1758212466184114495],0.29
[1758212466189361630],0.29
[1758212466194492932],0.29
[1758212466199617359],0.29
[1758212466204843713],0.29
[1758212466209953661],0.29
[1758212466215078765],0.29
[1758212466220194495],0.29
[1758212466225373713],0.29
[1758212466230586995],0.29
[1758212466235679026],0.29
[1758212466240784234],0.29
[1758212466246257620],0.29
[1758212466251387463],0.29
[1758212466256615849],0.29
[1758212466261727567],0.29
[1758212466266859390],0.29
[1758212466271965172],0.29
[1758212466277095380],0.29
[1758212466283414078],0.29
[1758212466290040849],0.29
[1758212466295275432],0.29
[1758212466300392203],0.29
[1758212466305597515],0.29
[1758212466310681474],0.29
[1758212466315766265],0.29
[1758212466320869338],0.29
[1758212466326074651],0.29
[1758212466331228661],0.29
[1758212466336427984],0.29
[1758212466341529442],0.29
[1758212466346651370],0.29
[1758212466352213349],0.29
[1758212466357414911],0.29
[1758212466362603297],0.29
[1758212466367726213],0.29
[1758212466372872047],0.29
[1758212466377965224],0.29
[1758212466383114963],0.29
[1758212466388230692],0.29
[1758212466393370015],0.29
[1758212466398964547],0.29
[1758212466404147880],0.29
[1758212466409239130],0.29
[1758212466414376838],0.29
[1758212466419490849],0.29
[1758212466424576786],0.29
[1758212466429719703],0.29
[1758212466434876265],0.29
[1758212466440065953],0.29
[1758212466445266422],0.29
[1758212466450414494],0.29
[1758212466455707828],0.29
[1758212466462224182],0.29
[1758212466468519807],0.29
[1758212466473780276],0.29
[1758212466478891838],0.29
[1758212466484029807],0.29
[1758212466489143036],0.29
[1758212466494297307],0.29
[1758212466499432619],0.29
[1758212466504944494],0.29
[1758212466510083557],0.29
[1758212466515330172],0.29
[1758212466520429442],0.29
[1758212466525621317],0.29
[1758212466530745224],0.29
[1758212466535846838],0.29
[1758212466540988557],0.29
[1758212466546167567],0.29
[1758212466551302411],0.29
[1758212466556583974],0.29
[1758212466561700119],0.29
[1758212466567193505],0.29
[1758212466572464442],0.29
[1758212466577637880],0.29
[1758212466582838609],0.29
[1758212466587980224],0.29
[1758212466593110015],0.29
[1758212466598228349],0.29
[1758212466603448661],0.29
[1758212466608645484],0.29
[1758212466614279234],0.29
[1758212466619423765],0.29
[1758212466624525171],0.29
[1758212466629737411],0.29
[1758212466634940953],0.29
[1758212466640106526],0.29
[1758212466645244390],0.29
[1758212466650373296],0.29
[1758212466655653974],0.29
[1758212466660841786],0.29
[1758212466665956942],0.29
[1758212466671075067],0.29
[1758212466677648244],0.29
[1758212466683946526],0.29
[1758212466689153713],0.29
[1758212466694286161],0.29
[1758212466699397255],0.29
[1758212466704595744],0.29
[1758212466709707515],0.29
[1758212466714838036],0.29
[1758212466721059338],0.29
[1758212466727424026],0.29
[1758212466733835953],0.29
[1758212466740130119],0.29
[1758212466746579234],0.29
[1758212466751792984],0.29
[1758212466756964755],0.29
[1758212466762075849],0.29
[1758212466767236682],0.29
[1758212466772501734],0.29
[1758212466777728713],0.29
[1758212466784131005],0.29
[1758212466789370796],0.29
[1758212466794542151],0.29
[1758212466799917151],0.29
[1758212466805554546],0.29
[1758212466810676317],0.29
[1758212466815834755],0.29
[1758212466820946786],0.29
[1758212466826114963],0.29
[1758212466831369651],0.29
[1758212466836514651],0.29
[1758212466841632411],0.29
