timestamp,x1,y1,z1,x2,y2,z2
[1758212092400161564],19.613,-12.407,-3.661,,,
[1758212092406088648],19.613,-13.127,-10.831,,,
[1758212092411201668],16.379,-10.264,-12.833,,,
[1758212092416331200],8.662,-5.981,-12.878,,,
[1758212092422428908],1.379,-0.405,-3.134,,,
[1758212092428277554],-5.334,3.335,8.152,,,
[1758212092433430366],-0.472,6.187,19.589,,,
[1758212092438881252],10.611,-0.306,19.53,,,
[1758212092444767762],10.008,-2.069,16.331,,,
[1758212092450965887],15.629,-8.552,6.294,,,
[1758212092456151148],19.613,-11.691,-4.968,,,
[1758212092461262866],19.613,-13.63,-9.222,,,
[1758212092466405783],18.794,-11.279,-12.907,,,
[1758212092471536252],12.68,-8.44,-12.634,,,
[1758212092476629377],4.745,-3.098,-7.86,,,
[1758212092481725679],-1.446,0.582,2.971,,,
[1758212092487925314],-5.423,4.401,9.388,,,
[1758212092493243648],-15.526,5.329,18.68,,,
[1758212092498641929],0.373,-0.101,19.254,,,
[1758212092503793179],12.371,-4.142,16.771,,,
[1758212092508893543],18.069,-8.229,6.761,,,
[1758212092513985679],19.613,-11.87,-3.764,,,
[1758212092519112450],19.613,-12.905,-11.004,,,
[1758212092524272658],18.684,-11.078,-14.775,,,
[1758212092530329116],9.481,-6.5,-13.02,,,
[1758212092535468231],2.423,-2.006,-7.075,,,
[1758212092540555523],-3.273,2.531,2.861,,,
[1758212092545737970],-5.095,2.883,8.643,,,
[1758212092550824064],-15.06,5.023,18.84,,,
[1758212092555905887],3.773,-0.67,19.407,,,
[1758212092561019273],11.217,-3.843,16.41,,,
[1758212092566150835],19.613,-8.54,6.005,,,
[1758212092571239533],19.613,-12.16,-2.698,,,
[1758212092576349168],19.613,-12.713,-10.894,,,
[1758212092581461720],19.237,-11.248,-13.683,,,
[1758212092586592814],11.253,-7.087,-13.324,,,
[1758212092591781616],5.564,-3.699,-8.633,,,
[1758212092597593439],-3.776,1.93,2.464,,,
[1758212092604511564],-0.816,1.616,14.403,,,
[1758212092610456043],1.738,-1.022,15.785,,,
[1758212092615592554],5.578,-1.609,15.103,,,
[1758212092620664272],11.978,-4.743,9.965,,,
[1758212092625768022],19.613,-10.223,3.318,,,
[1758212092630846981],19.613,-12.653,-5.892,,,
[1758212092636780054],19.613,-12.239,-12.1,,,
[1758212092641888387],15.943,-9.62,-13.994,,,
[1758212092647305991],6.668,-5.456,-11.064,,,
[1758212092653229741],0.512,0.05,-0.304,,,
[1758212092658348127],-5.116,4.245,7.305,,,
[1758212092663496460],2.588,9.486,18.304,,,
[1758212092668582085],8.897,2.727,18.332,,,
[1758212092673667450],9.749,-2.054,16.211,,,
[1758212092678763075],10.982,-4.887,8.195,,,
[1758212092683933856],19.613,-10.283,1.492,,,
[1758212092689387502],19.613,-12.608,-7.082,,,
[1758212092695340835],19.611,-11.856,-13.757,,,
[1758212092700462658],13.561,-8.15,-13.771,,,
[1758212092705559064],7.13,-3.493,-9.852,,,
[1758212092710663022],-0.603,0.419,-0.785,,,
[1758212092719138231],-5.212,3.613,8.605,,,
[1758212092724534272],-3.792,2.938,16.92,,,
[1758212092731829637],7.649,-1.788,16.905,,,
[1758212092737097345],17.878,-7.647,9.479,,,
[1758212092742899168],19.613,-11.799,-0.79,,,
[1758212092748047658],19.613,-12.292,-9.625,,,
[1758212092754782762],19.587,-10.637,-14.7,,,
[1758212092760017658],9.946,-7.099,-14.03,,,
[1758212092765755002],3.227,-1.314,-3.79,,,
[1758212092770874116],-3.069,2.516,5.1,,,
