timestamp,x1,y1,z1,x2,y2,z2
[1758203661760022284],,,,2.155,0.251,9.608
[1758203661763716607],,,,2.037,0.194,9.776
[1758203661767439628],,,,2.248,0.223,9.546
[1758203661771108951],,,,2.136,0.232,9.639
[1758203661775714732],,,,2.069,0.378,9.562
[1758203661779485097],,,,2.286,0.158,9.677
[1758203661783173014],,,,1.954,0.304,9.711
[1758203661786845930],,,,2.073,0.309,9.704
[1758203661790513326],,,,2.004,0.333,9.527
[1758203661794188743],,,,2.073,0.35,9.653
[1758203661798748482],,,,2.126,0.165,9.373
[1758203661802462284],,,,1.887,0.067,9.699
[1758203661806279368],,,,2.057,0.201,9.67
[1758203661809947857],,,,2.121,0.184,9.699
[1758203661813614316],,,,2.073,0.23,9.641
[1758203661817310826],,,,2.011,0.251,9.675
[1758203661822480670],,,,1.956,0.395,9.464
[1758203661826399576],,,,2.09,0.177,9.653
[1758203661830150305],,,,1.992,0.297,9.594
[1758203661833825462],,,,2.143,0.338,9.687
[1758203661837518118],,,,2.157,0.17,9.651
[1758203661841181972],,,,2.143,0.16,9.62
[1758203661844964159],,,,2.109,0.259,9.735
[1758203661848643378],,,,2.093,0.223,9.529
[1758203661852313274],,,,2.143,0.225,9.543
[1758203661856030514],,,,2.119,0.165,9.613
[1758203661859691607],,,,2.066,0.395,9.749
[1758203661863368639],,,,2.155,0.321,9.594
[1758203661867057389],,,,2.116,0.259,9.792
[1758203661870728326],,,,2.102,0.376,9.766
[1758203661874431295],,,,2.088,0.232,9.517
[1758203661878116243],,,,2.138,0.273,9.716
[1758203661881816607],,,,1.937,0.297,9.792
[1758203661885508482],,,,1.992,0.263,9.742
[1758203661889174055],,,,2.131,0.18,9.606
[1758203661892844784],,,,2.119,0.213,9.689
[1758203661896773170],,,,2.112,0.218,9.62
[1758203661900495357],,,,2.054,0.302,9.723
[1758203661904163951],,,,2.15,0.177,9.783
[1758203661907877493],,,,2.059,0.235,9.747
[1758203661911581295],,,,2.136,0.29,9.73
[1758203661915311607],,,,2.054,0.218,9.656
[1758203661918979420],,,,2.011,0.393,9.754
[1758203661922645514],,,,2.037,0.22,9.819
[1758203661926554941],,,,2.064,0.196,9.629
[1758203661930291503],,,,2.081,0.199,9.653
[1758203661934003274],,,,1.851,0.215,9.555
[1758203661937853743],,,,2.16,0.302,9.651
