timestamp,x1,y1,z1,x2,y2,z2
[1758203709748879922],,,,3.723,1.116,9.898
[1758203709752629870],,,,3.57,1.274,11.155
[1758203709756323152],,,,3.445,1.487,13.226
[1758203709759996225],,,,3.254,1.245,11.993
[1758203709763663360],,,,3.412,1.152,10.563
[1758203709767371589],,,,3.44,0.824,10.714
[1758203709771041537],,,,3.601,0.673,10.602
[1758203709774778412],,,,3.673,0.675,10.41
[1758203709779463047],,,,3.694,0.529,10.398
[1758203709783380027],,,,3.606,0.429,10.254
[1758203709787103360],,,,3.622,0.237,9.902
[1758203709790772006],,,,3.242,0.012,10.001
[1758203709794472631],,,,3.146,0.036,9.668
[1758203709798187579],,,,3.1,-0.06,9.56
[1758203709801889506],,,,2.895,-0.038,9.627
[1758203709806546849],,,,2.907,0.034,9.036
[1758203709810335443],,,,2.629,0.055,9.076
[1758203709814028204],,,,2.43,0.038,8.935
[1758203709817702058],,,,2.468,0.132,8.808
[1758203709821393308],,,,2.131,0.223,8.885
[1758203709825084454],,,,2.057,0.256,8.586
[1758203709828747370],,,,1.697,0.302,8.478
[1758203709832401016],,,,1.968,0.041,8.483
[1758203709836076693],,,,1.769,0.172,8.373
[1758203709839755912],,,,1.707,0.259,7.954
[1758203709843441329],,,,1.535,-0.122,8.023
[1758203709847270339],,,,1.877,-0.098,7.743
[1758203709851033829],,,,1.932,-0.036,7.865
[1758203709854798152],,,,2.045,-0.113,7.642
[1758203709858514037],,,,1.918,-0.072,7.513
[1758203709862196433],,,,1.968,-0.065,7.57
[1758203709865947318],,,,2.057,-0.323,7.36
[1758203709869619974],,,,2.025,-0.534,7.429
[1758203709873289610],,,,2.236,-0.603,7.432
[1758203709876969141],,,,2.31,-0.73,7.503
[1758203709880698360],,,,2.471,-0.644,7.307
[1758203709884377214],,,,2.562,-0.86,7.405
[1758203709888147266],,,,2.851,-0.883,7.274
[1758203709891842474],,,,2.931,-0.922,7.525
[1758203709895523204],,,,3.084,-0.86,7.678
[1758203709899193256],,,,3.043,-0.757,7.681
[1758203709902921329],,,,3.048,-0.893,7.807
[1758203709907124818],,,,2.966,-0.517,7.973
[1758203709910875964],,,,2.626,-0.587,8.181
[1758203709914636172],,,,3.005,-0.419,8.138
[1758203709918329714],,,,3.29,-0.333,8.435
[1758203709922006068],,,,3.215,-0.192,8.54
[1758203709925697058],,,,3.096,-0.256,8.466
[1758203709929390964],,,,3.515,0.433,8.55
