timestamp,x1,y1,z1,x2,y2,z2
[1758215071100792073],4.937,0.467,10.348,,,
[1758215071107102542],4.98,0.493,10.12,,,
[1758215071113857178],4.913,0.515,10.326,,,
[1758215071120344469],4.908,0.577,10.305,,,
[1758215071126826917],4.93,0.599,10.195,,,
[1758215071133249834],4.946,0.532,10.132,,,
[1758215071139712855],4.949,0.484,10.357,,,
[1758215071146288011],4.922,0.56,10.245,,,
[1758215071152774990],4.958,0.464,10.353,,,
[1758215071159211396],4.944,0.527,10.376,,,
[1758215071165654886],4.913,0.467,10.369,,,
[1758215071171413688],4.934,0.498,10.202,,,
[1758215071177131709],4.954,0.498,10.13,,,
[1758215071182885771],4.982,0.591,10.226,,,
[1758215071188609730],4.776,0.52,10.187,,,
[1758215071194359261],4.944,0.512,10.135,,,
[1758215071200194573],4.927,0.476,10.204,,,
[1758215071205947803],4.985,0.551,10.221,,,
[1758215071211692542],4.887,0.603,10.403,,,
[1758215071217427646],4.966,0.563,10.13,,,
[1758215071222708844],5.15,0.515,10.175,,,
[1758215071228357698],5.021,0.464,10.24,,,
[1758215071234034990],4.946,0.503,10.226,,,
[1758215071239710042],5.116,0.481,10.166,,,
[1758215071244792959],5.049,0.486,10.185,,,
[1758215071250402490],4.851,0.515,10.278,,,
[1758215071256060042],4.937,0.328,10.195,,,
[1758215071261505667],4.884,0.508,10.247,,,
[1758215071267799469],4.875,0.539,10.362,,,
[1758215071274481396],4.772,0.512,10.305,,,
[1758215071280987178],4.987,0.503,10.4,,,
[1758215071287513584],4.956,0.548,10.25,,,
[1758215071293979417],4.887,0.441,10.384,,,
[1758215071300487855],4.913,0.474,10.19,,,
[1758215071306966292],4.872,0.457,10.135,,,
[1758215071313394365],4.875,0.464,10.336,,,
[1758215071319799730],4.937,0.493,10.142,,,
[1758215071326236865],4.949,0.522,10.386,,,
[1758215071332724938],4.889,0.608,10.264,,,
[1758215071339173011],4.946,0.429,10.357,,,
[1758215071345678688],4.903,0.563,10.372,,,
