timestamp,frequency_hz
[1758211275991483959],0.01
[1758211275999783282],0.01
[1758211276007666824],0.01
[1758211276015601251],0.01
[1758211276023232188],0.01
[1758211276031077813],0.01
[1758211331562861907],121.24
[1758211331569208313],121.24
[1758211331577432323],121.24
[1758211331584169094],121.24
[1758211331590842323],121.24
[1758211331597514979],121.24
[1758211331604284302],121.24
[1758211332655718729],121.24
[1758211333714676541],121.24
[1758211333720902531],121.24
[1758211333728805499],121.24
[1758211333735447062],121.24
[1758211333742119093],121.24
[1758211333748983677],121.24
[1758211333755510239],121.24
[1758211333761996906],121.24
[1758211334802857739],121.24
[1758211334809540707],121.24
[1758211334817079978],121.24
[1758211334824451437],121.24
[1758211334831703572],121.24
[1758211334838187218],121.24
[1758211334844865395],121.24
[1758211334851527582],121.24
[1758211334858186176],121.24
[1758211334864698676],121.24
[1758211334871043989],121.24
[1758211334877706541],121.24
[1758211334884292114],121.24
[1758211334890768884],121.24
[1758211334897529197],121.24
[1758211334904089874],121.24
[1758211334910584770],121.24
[1758211334917066020],121.24
[1758211334923594666],121.24
[1758211334930057218],121.24
[1758211334936559301],121.24
[1758211334943086801],121.24
[1758211334949549353],121.24
[1758211334956037166],121.24
[1758211334962541176],121.24
[1758211334969048364],121.24
[1758211334975525812],121.24
[1758211334981921489],121.24
[1758211334988755707],121.24
[1758211334995241905],121.24
[1758211335001744978],121.24
[1758211335008090811],121.24
[1758211335014413989],121.24
[1758211335021199353],121.24
[1758211335027697843],121.24
[1758211335034254822],121.24
[1758211335040738936],121.24
[1758211335047223728],121.24
[1758211335053596957],121.24
[1758211335059926384],121.24
[1758211335066805968],121.24
[1758211335072930499],121.24
[1758211335078858832],121.24
[1758211335084665811],121.24
[1758211335090609770],121.24
[1758211335096390291],121.24
[1758211336154628936],0.03
[1758211336160805499],0.03
[1758211336168339665],0.03
[1758211336175136019],0.03
[1758211336181856644],0.03
[1758211336188586749],0.03
[1758211336195342217],0.03
[1758211336202061124],0.03
[1758211336208594665],0.03
[1758211336215227790],0.03
[1758211336222598155],0.03
[1758211336229444613],0.03
[1758211336236078780],0.03
[1758211336242803259],0.03
[1758211336249595707],0.03
[1758211336256159821],0.03
[1758211336262698415],0.03
[1758211336269193155],0.03
[1758211336275819509],0.03
[1758211336282498363],0.03
[1758211336289193207],0.03
[1758211336295734769],0.03
[1758211336302728884],0.03
[1758211336309216488],0.03
[1758211336315756696],0.03
[1758211336322260290],0.03
[1758211336328778988],0.03
[1758211337364081956],166.2
[1758211338419985654],1.21
[1758211338427044144],1.21
[1758211338434847737],1.21
[1758211338441793362],1.21
[1758211338448275914],1.21
[1758211338454951591],1.21
[1758211338461923831],1.21
[1758211339494339820],1.21
[1758211339501599351],1.21
[1758211339509381799],1.21
[1758211339516433101],1.21
[1758211339523077372],1.21
[1758211339529720810],1.21
[1758211339536367997],1.21
[1758211339543241799],1.21
[1758211339549896122],1.21
[1758211339556545237],1.21
[1758211339563196122],1.21
[1758211339569672476],1.21
[1758211339576293206],1.21
[1758211339582781903],1.21
[1758211339588138153],1.21
[1758211339593967060],1.21
[1758211339599683726],1.21
[1758211339605389039],1.21
[1758211339611220862],1.21
[1758211339616914768],1.21
[1758211339622729508],1.21
[1758211339627919872],1.21
[1758211339633569143],1.21
[1758211339639310028],1.21
[1758211339645028778],1.21
[1758211339650919820],1.21
[1758211339656640497],1.21
[1758211339662163310],1.21
[1758211339668088414],1.21
[1758211339673908049],1.21
[1758211339679732789],1.21
[1758211339686252997],1.21
[1758211339692848622],1.21
[1758211339699274508],1.21
[1758211339706029664],1.21
[1758211339712598570],1.21
[1758211339719335706],1.21
[1758211339725832581],1.21
[1758211339732272893],1.21
[1758211339739067945],1.21
[1758211339745729456],1.21
[1758211340784473778],3382.5
[1758211340791637893],3382.5
[1758211340802038309],3382.5
[1758211340808291018],3382.5
[1758211340815442476],3382.5
[1758211340822043309],3382.5
[1758211340828981226],3382.5
[1758211340836045497],3382.5
[1758211340842773986],3382.5
[1758211340849433257],3382.5
[1758211340855460341],3382.5
[1758211340862091591],3382.5
[1758211340869192424],3382.5
[1758211340875703309],3382.5
[1758211340882266538],3382.5
[1758211340888801799],3382.5
[1758211340895121851],3382.5
[1758211340901461018],3382.5
[1758211340908228361],6.07
[1758211340915020132],6.07
[1758211341953516330],6.63
[1758211342994781746],7.27
[1758211344040816329],8.39
[1758211344048463568],8.39
[1758211344055915964],8.39
[1758211344062446537],8.39
[1758211344069171121],8.39
[1758211344075675652],8.39
[1758211344082357266],8.39
[1758211344088872683],8.39
[1758211344095435391],8.39
[1758211344101953516],8.19
[1758211344108817110],8.19
[1758211344115264298],8.19
[1758211344121927683],8.19
[1758211344127859402],8.19
[1758211344134736798],8.19
[1758211344141517527],8.19
[1758211344148073308],8.19
[1758211344154601902],8.19
[1758211344161088933],8.19
[1758211344167544714],8.19
[1758211344174278673],8.19
[1758211344180743308],8.19
[1758211344187249923],8.19
[1758211344194083048],8.19
[1758211344200612943],8.19
[1758211344206701798],8.19
[1758211344213404662],8.19
[1758211344220197579],8.44
[1758211344226976537],8.44
[1758211344233669506],8.44
[1758211344240004766],8.44
[1758211344246801329],8.44
[1758211344253361798],8.44
[1758211344259767266],8.44
[1758211344266478620],8.44
[1758211344273002318],8.44
[1758211344279422214],8.44
[1758211344285879766],8.44
[1758211344292397110],8.44
[1758211344298698881],8.44
[1758211345352624558],9.54
[1758211345358642110],9.54
[1758211345365407058],9.54
[1758211345371325235],9.54
[1758211345377094349],9.54
[1758211345382936016],9.54
[1758211345388889245],9.54
[1758211345394967578],9.54
[1758211345401116745],9.54
[1758211345407955912],9.54
[1758211345414292110],9.54
[1758211345421434662],9.54
[1758211345427939089],9.54
[1758211345434404922],9.54
[1758211345440889349],9.23
[1758211345447753985],9.23
[1758211345454332318],9.23
[1758211345460741745],9.23
[1758211345467456172],9.23
[1758211345474463985],9.23
[1758211345480983047],9.23
[1758211345487629610],9.23
[1758211345494205599],9.23
[1758211345500656016],9.23
[1758211345507011016],9.23
[1758211345514018516],9.23
[1758211345520615860],9.23
[1758211346574100390],10.46
[1758211347610526692],11.21
[1758211348676453306],12.03
[1758211348683143098],12.03
[1758211348691181379],12.03
[1758211348698008723],12.03
[1758211348704908567],12.03
[1758211348711194244],12.03
[1758211348717170285],12.03
[1758211348723205181],12.03
[1758211348729158827],12.03
[1758211348735022733],12.03
[1758211348740692004],12.03
[1758211348746544348],12.03
[1758211348752293827],12.03
[1758211348758122369],12.03
[1758211348763986119],12.03
[1758211348769862733],12.03
[1758211348775676015],12.03
[1758211348781443723],12.03
[1758211348787192212],12.03
[1758211348793055390],12.03
[1758211348799038567],12.03
[1758211348804860650],12.03
[1758211348810580129],12.03
[1758211348816220546],12.03
[1758211348821880285],12.03
[1758211348827591900],12.03
[1758211348833310806],12.03
[1758211348838848567],12.03
[1758211348844863462],12.03
[1758211348850096848],12.03
[1758211348855743567],12.03
[1758211348861283775],12.03
[1758211348867052421],12.03
[1758211348872823358],12.03
[1758211348878523306],12.03
[1758211348884248254],12.03
[1758211348889943827],12.03
[1758211348895846067],12.03
[1758211348901411275],12.03
[1758211348907130546],12.03
[1758211348913201275],12.03
[1758211348919876952],12.03
[1758211348926238150],12.03
[1758211348932588879],12.03
[1758211348939180337],12.03
[1758211348945678671],12.03
[1758211348952504973],12.03
[1758211348958855546],12.03
[1758211348965559764],12.03
[1758211348971993827],12.03
[1758211348978548462],12.03
[1758211348984892785],12.03
[1758211348991242837],12.03
[1758211348998056275],12.03
[1758211349004864087],12.03
[1758211349011069608],12.03
[1758211349016859608],12.03
[1758211349022587994],12.03
[1758211350080216274],12.03
[1758211351134859972],12.03
[1758211352190626430],12.03
[1758211353242603200],12.03
[1758211354285928044],12.03
[1758211354294800492],12.03
[1758211354301450700],12.03
[1758211354308162627],12.03
[1758211354314839815],12.03
[1758211354321294710],12.03
[1758211354327982419],12.03
[1758211354334646481],12.03
[1758211354341278929],12.03
[1758211354347722575],12.03
[1758211354354267940],12.03
[1758211354360703929],12.03
[1758211354367211221],12.03
[1758211354373587783],12.03
[1758211354379945960],12.03
[1758211354386653929],12.03
[1758211354393395960],12.03
[1758211354400032367],12.03
[1758211354406747835],12.03
[1758211354413736325],12.03
[1758211354420474762],12.03
