1758208765492430139,,,,9.416,2.938,1.456,
1758208765493146910,,,,,,,0.0
1758208765498878785,,,,9.378,2.957,1.508,
1758208765499548473,,,,,,,0.0
1758208765505342483,,,,9.378,2.95,1.305,
1758208765506046754,,,,,,,0.0
1758208765511780868,,,,9.431,2.875,1.391,
1758208765512444098,,,,,,,0.0
1758208765518198681,,,,9.414,2.921,1.367,
1758208765518882118,,,,,,,0.0
1758208765524692639,,,,9.586,2.904,1.439,
1758208765525396598,,,,,,,0.0
1758208765531151233,,,,9.404,2.978,1.365,
1758208765531809566,,,,,,,0.0
1758208765537572691,,,,9.366,2.897,1.267,
1758208765538248473,,,,,,,0.0
1758208765544028004,,,,9.407,2.823,1.42,
1758208765544665504,,,,,,,0.0
1758208765549948837,,,,9.4,2.995,1.439,
1758208765550934045,,,,,,,0.0
1758208765556424410,,,,9.426,3.026,1.444,
1758208765557284254,,,,,,,0.0
1758208765562541806,,,,9.404,2.878,1.46,
1758208765563664566,,,,,,,0.0
1758208765569240400,,,,9.555,2.919,1.3,
1758208765570301025,,,,,,,0.0
1758208765575683420,,,,9.278,2.88,1.475,
1758208765577059098,,,,,,,0.0
1758208765582443108,,,,9.383,3.053,1.355,
1758208765583369618,,,,,,,0.0
1758208765588888316,,,,9.325,2.88,1.302,
1758208765589840139,,,,,,,0.0
1758208765595145660,,,,9.409,2.832,1.331,
1758208765596159410,,,,,,,0.0
1758208765601512379,,,,9.402,2.885,1.384,
1758208765602501545,,,,,,,0.0
1758208765607890348,,,,9.402,2.919,1.587,
1758208765609071650,,,,,,,0.0
1758208765614411754,,,,9.222,2.787,1.444,
1758208765615439098,,,,,,,0.0
1758208765621173108,,,,9.373,2.947,1.312,
1758208765621834098,,,,,,,0.0
1758208765627605712,,,,9.361,2.911,1.314,
1758208765628310452,,,,,,,0.0
1758208765633959670,,,,9.455,2.775,1.341,
1758208765635237743,,,,,,,0.0
1758208765640579879,,,,9.4,2.933,1.434,
1758208765641450191,,,,,,,0.0
1758208765646732952,,,,9.227,2.885,1.492,
1758208765647794462,,,,,,,0.0
1758208765653416285,,,,9.388,3.01,1.573,
1758208765654339670,,,,,,,0.0
1758208765660116389,,,,9.4,2.885,1.499,
1758208765661243212,,,,,,,0.0
1758208765666647639,,,,9.409,2.811,1.343,
1758208765667844827,,,,,,,0.0
1758208765673164202,,,,9.313,2.873,1.228,
1758208765674186285,,,,,,,0.0
1758208765679270400,,,,9.22,2.856,1.384,
1758208765680236389,,,,,,,0.0
1758208765684974097,,,,9.416,2.851,1.46,
1758208765685918941,,,,,,,0.0
1758208765690672587,,,,9.34,2.909,1.317,
1758208765691190504,,,,,,,0.0
1758208765695657431,,,,9.601,2.969,1.415,
1758208765696561233,,,,,,,0.0
1758208765701427014,,,,9.448,2.921,1.362,
1758208765702200868,,,,,,,0.0
1758208765706931493,,,,9.424,2.804,1.307,
1758208765707528212,,,,,,,0.0
