timestamp,x1,y1,z1,x2,y2,z2
[1758212499367542919],5.679,-2.37,6.74,,,
[1758212499372878909],7.614,-3.036,7.135,,,
[1758212499378033336],8.169,-3.505,7.185,,,
[1758212499383194326],9.807,-4.336,6.637,,,
[1758212499388341774],10.86,-4.889,6.256,,,
[1758212499393644638],12.965,-5.899,4.657,,,
[1758212499399903753],12.996,-6.749,2.531,,,
[1758212499406305471],14.308,-7.257,0.146,,,
[1758212499413065888],14.461,-7.321,-1.379,,,
[1758212499418317555],13.269,-6.744,-2.023,,,
[1758212499423479638],11.586,-6.299,-2.38,,,
[1758212499428581409],10.824,-5.392,-3.021,,,
[1758212499433716409],9.768,-5.001,-2.619,,,
[1758212499438809013],7.654,-4.085,-2.016,,,
[1758212499443936878],6.436,-3.457,-0.747,,,
[1758212499450137399],5.76,-2.44,0.967,,,
[1758212499455537190],4.958,-1.889,3.156,,,
[1758212499461323753],4.221,-1.705,4.377,,,
[1758212499466485055],4.446,-1.652,5.516,,,
[1758212499471597607],5.674,-2.195,6.711,,,
[1758212499476723180],7.154,-3.108,7.116,,,
[1758212499481818128],8.272,-3.603,6.917,,,
[1758212499486935992],9.412,-4.096,6.9,,,
[1758212499492020211],11.04,-4.985,6.371,,,
[1758212499497143649],12.033,-5.385,5.171,,,
[1758212499502413596],13.233,-6.249,3.259,,,
[1758212499507587763],13.41,-7.238,1.812,,,
[1758212499512765680],14.641,-7.372,0.548,,,
[1758212499517889690],14.308,-7.168,-1.24,,,
[1758212499523003492],13.051,-6.665,-2.286,,,
[1758212499528125211],11.609,-6.012,-2.2,,,
[1758212499533309846],10.901,-5.447,-3.055,,,
[1758212499538518232],9.232,-4.793,-2.5,,,
[1758212499543666774],8.114,-4.173,-2.799,,,
[1758212499548820107],6.625,-3.261,-0.781,,,
[1758212499554223024],5.94,-2.478,0.816,,,
[1758212499559364013],4.882,-1.92,2.021,,,
[1758212499564988753],4.705,-1.997,4.12,,,
[1758212499570183336],4.25,-1.899,5.296,,,
[1758212499575765003],5.598,-2.243,6.191,,,
[1758212499580876305],7.353,-2.82,7.017,,,
[1758212499586049586],7.76,-3.369,6.833,,,
[1758212499591162086],8.997,-4.152,6.495,,,
[1758212499596317346],10.803,-4.865,6.34,,,
[1758212499601449430],11.973,-5.459,4.97,,,
[1758212499606699690],12.471,-6.196,3.61,,,
[1758212499611929482],13.585,-6.924,2.21,,,
[1758212499617047711],14.092,-7.053,0.967,,,
[1758212499622212763],14.351,-7.106,-0.223,,,
[1758212499627393180],13.329,-6.443,-1.453,,,
[1758212499632577607],12.048,-5.863,-2.207,,,
[1758212499637710263],10.982,-5.521,-3.043,,,
[1758212499642898805],10.319,-5.303,-1.956,,,
[1758212499648032034],8.571,-4.659,-2.483,,,
[1758212499653296930],7.187,-3.871,-2.002,,,
[1758212499658499586],5.734,-3.103,0.136,,,
[1758212499663637763],5.198,-2.334,2.006,,,
[1758212499670079794],4.714,-2.021,3.689,,,
[1758212499675417190],4.721,-2.109,4.525,,,
[1758212499681656982],5.6,-2.172,5.567,,,
[1758212499688089117],7.542,-2.983,6.802,,,
[1758212499694687711],7.918,-3.546,7.197,,,
[1758212499699937919],9.606,-4.252,6.706,,,
[1758212499705138336],10.815,-4.946,6.258,,,
[1758212499710241669],12.186,-5.729,4.985,,,
[1758212499715400576],12.895,-6.426,3.548,,,
[1758212499720503440],13.702,-6.962,1.889,,,
[1758212499725617086],14.305,-6.795,0.587,,,
[1758212499730726721],14.382,-7.099,-1.231,,,
[1758212499735895419],12.929,-6.68,-2.136,,,
[1758212499741142815],11.741,-5.792,-2.794,,,
[1758212499746306461],11.006,-5.55,-3.364,,,
[1758212499751422555],9.977,-4.882,-2.349,,,
[1758212499756626565],7.92,-4.283,-2.023,,,
[1758212499761739690],6.785,-3.706,-0.848,,,
[1758212499766859013],6.06,-2.804,0.546,,,
[1758212499773337138],5.26,-2.227,1.53,,,
[1758212499778695575],4.266,-1.98,3.541,,,
[1758212499783931669],4.389,-1.987,5.425,,,
[1758212499789034534],5.533,-2.267,5.729,,,
[1758212499794151617],6.63,-2.576,6.029,,,
[1758212499799274846],7.654,-3.187,6.608,,,
[1758212499804535575],8.226,-4.01,6.433,,,
[1758212499809641513],10.561,-4.441,6.433,,,
[1758212499814769169],11.37,-5.152,5.772,,,
[1758212499819913700],12.531,-5.897,4.384,,,
[1758212499825137711],12.699,-6.56,2.962,,,
[1758212499830245732],13.769,-6.862,1.063,,,
[1758212499835373544],14.346,-7.046,-0.251,,,
[1758212499840532659],14.018,-6.958,-1.372,,,
[1758212499845668232],12.668,-6.409,-2.081,,,
[1758212499850788805],11.408,-5.969,-1.731,,,
[1758212499856020159],11.155,-5.229,-1.887,,,
[1758212499861135107],9.191,-4.662,-2.602,,,
[1758212499866301617],7.963,-4.228,-2.131,,,
[1758212499871437138],6.871,-3.565,-1.31,,,
[1758212499876550836],6.529,-2.734,0.453,,,
[1758212499882206044],5.097,-2.188,2.112,,,
[1758212499887404586],4.561,-2.181,3.546,,,
[1758212499892570471],4.724,-2.093,4.298,,,
[1758212499897745211],5.808,-2.382,5.43,,,
[1758212499902966825],6.936,-2.784,5.844,,,
[1758212499908124325],7.594,-3.287,6.608,,,
[1758212499913270107],8.487,-3.68,6.584,,,
[1758212499918397398],10.025,-4.432,6.768,,,
[1758212499923626565],11.523,-5.1,5.859,,,
[1758212499931271200],12.352,-6.28,3.383,,,
[1758212499936618128],13.264,-6.706,2.078,,,
[1758212499941744534],14.284,-6.778,1.089,,,
[1758212499946905784],14.262,-6.962,-0.402,,,
[1758212499952075680],13.072,-6.529,-1.36,,,
[1758212499957342398],11.669,-5.906,-2.121,,,
[1758212499962518440],11.447,-5.768,-2.67,,,
[1758212499967634846],10.671,-5.155,-2.478,,,
[1758212499972827138],8.624,-4.64,-2.248,,,
[1758212499978037971],7.683,-4.053,-1.427,,,
[1758212499983558961],6.814,-3.165,-0.563,,,
[1758212499988768284],6.325,-2.485,1.348,,,
[1758212499993953336],5.191,-2.236,2.337,,,
[1758212499999109898],3.989,-2.023,4.288,,,
[1758212500004355471],5.124,-2.145,4.597,,,
[1758212500009474117],6.472,-2.33,5.657,,,
[1758212500014613805],7.381,-3.1,5.674,,,
[1758212500019724013],7.329,-3.402,6.218,,,
[1758212500024931877],8.887,-3.979,7.274,,,
[1758212500030121305],10.063,-4.36,6.364,,,
[1758212500035271721],11.32,-5.224,5.732,,,
[1758212500040372086],11.581,-5.657,4.178,,,
[1758212500045535888],12.74,-6.445,2.308,,,
[1758212500050637555],14.207,-6.596,1.097,,,
[1758212500055852867],14.044,-6.979,-0.314,,,
[1758212500061046200],13.554,-7.099,-1.408,,,
[1758212500066223180],12.428,-6.155,-1.492,,,
[1758212500071366721],11.758,-5.437,-2.081,,,
[1758212500076503440],11.08,-5.413,-2.023,,,
[1758212500081617242],9.433,-5.033,-2.332,,,
[1758212500087178752],8.167,-4.207,-1.946,,,
[1758212500093623440],7.477,-3.433,-0.702,,,
[1758212500098955523],6.646,-2.765,1.018,,,
[1758212500104158180],5.471,-2.605,2.859,,,
[1758212500109260263],4.551,-2.263,3.986,,,
[1758212500114379169],5.322,-1.987,4.908,,,
[1758212500119487659],6.268,-2.011,5.286,,,
[1758212500124587763],6.483,-3.029,5.892,,,
[1758212500129725367],7.42,-3.326,5.993,,,
[1758212500134998180],8.191,-3.536,6.864,,,
[1758212500140270732],10.235,-4.053,6.74,,,
[1758212500145433284],10.649,-4.93,5.715,,,
[1758212500150570732],11.37,-5.624,4.401,,,
[1758212500155760680],12.433,-6.33,3.467,,,
[1758212500160858805],13.75,-6.503,2.045,,,
[1758212500166015002],13.865,-6.953,1.099,,,
[1758212500171150159],13.436,-7.154,-0.35,,,
[1758212500176320159],12.993,-6.823,-1.075,,,
[1758212500181427867],11.914,-5.705,-1.516,,,
[1758212500186598440],11.497,-5.485,-2.512,,,
[1758212500191718805],9.668,-5.181,-2.409,,,
[1758212500198151617],8.394,-4.678,-2.32,,,
[1758212500203497919],7.841,-3.618,-0.802,,,
[1758212500208623440],7.333,-2.885,-0.069,,,
[1758212500213754482],5.507,-2.435,1.365,,,
[1758212500218849846],4.903,-2.528,1.429,,,
[1758212500223925263],5.169,-1.848,3.247,,,
[1758212500229004742],5.437,-1.834,4.669,,,
[1758212500234152242],6.036,-2.509,5.499,,,
[1758212500239275471],6.325,-3.168,6.39,,,
[1758212500244488492],7.506,-3.512,6.294,,,
[1758212500249589013],8.871,-3.783,6.536,,,
[1758212500254816200],10.003,-4.525,6.153,,,
[1758212500259927346],10.661,-5.013,5.708,,,
[1758212500265086565],11.588,-5.756,5.155,,,
[1758212500270221929],13.29,-6.235,3.773,,,
[1758212500275332450],13.448,-6.577,1.437,,,
[1758212500280436617],13.75,-7.192,0.218,,,
[1758212500285576617],13.252,-6.967,-0.527,,,
[1758212500290701669],13.046,-6.215,-1.607,,,
[1758212500295857086],11.995,-5.77,-1.705,,,
[1758212500301424586],10.611,-5.6,-2.535,,,
[1758212500306692711],9.586,-5.15,-2.907,,,
[1758212500311804482],8.681,-4.295,-1.686,,,
[1758212500316954742],8.361,-3.654,-1.137,,,
[1758212500322061982],6.835,-3.136,0.029,,,
[1758212500327219742],5.99,-2.998,1.346,,,
[1758212500332372450],5.667,-2.6,2.193,,,
[1758212500337519482],5.655,-2.136,3.409,,,
[1758212500342842919],5.559,-2.241,4.298,,,
[1758212500348104950],5.521,-2.547,5.071,,,
[1758212500353348909],6.922,-3.12,5.739,,,
[1758212500358501304],8.198,-3.338,6.419,,,
[1758212500363643179],9.062,-3.467,6.381,,,
[1758212500368774429],9.486,-4.147,6.984,,,
[1758212500373887867],10.491,-5.186,6.115,,,
[1758212500379008648],11.748,-5.437,4.975,,,
[1758212500384215471],12.323,-6.048,3.493,,,
