timestamp,x1,y1,z1,x2,y2,z2
[1758207232964088965],,,,-0.919,0.247,19.613
[1758207232970857767],,,,-2.272,19.613,19.153
[1758207232977205372],,,,-1.978,19.613,8.392
[1758207232984028653],,,,0.014,19.613,-5.401
[1758207232990434174],,,,1.35,0.017,-6.73
[1758207232996778236],,,,2.38,-19.613,-2.483
[1758207233003362090],,,,2.43,-19.613,14.478
[1758207233010031517],,,,-0.031,-17.657,19.613
[1758207233016672507],,,,-0.718,-0.153,19.613
[1758207233023709070],,,,-3.127,19.613,17.593
[1758207233030362247],,,,-1.968,19.613,6.833
[1758207233036822351],,,,-0.515,16.826,-8.301
[1758207233043306934],,,,1.343,-4.063,-6.251
[1758207233049869330],,,,3.024,-19.613,2.67
[1758207233056382299],,,,1.901,-19.613,15.589
[1758207233062704851],,,,0.917,-16.628,19.613
[1758207233069577403],,,,-1.834,6.038,19.613
[1758207233076441465],,,,-2.636,19.613,15.802
[1758207233082909747],,,,-1.453,19.613,2.365
[1758207233089380372],,,,-0.01,13.561,-8.207
[1758207233096192976],,,,1.118,-10.654,-2.315
[1758207233102710528],,,,2.308,-19.613,3.752
[1758207233109063653],,,,1.659,-19.613,19.613
[1758207233115226049],,,,-0.28,-13.783,19.613
[1758207233121082924],,,,-2.246,7.609,19.613
[1758207233127125215],,,,-2.423,19.613,17.925
[1758207233132746517],,,,-2.337,19.613,6.282
[1758207233138410580],,,,-0.962,19.558,-3.639
[1758207233144167507],,,,1.087,2.545,-6.426
[1758207233149913340],,,,2.081,-16.13,-3.34
[1758207233155646674],,,,2.143,-19.613,7.47
[1758207233161366413],,,,1.563,-19.613,19.153
[1758207233167119174],,,,0.529,-13.561,19.613
[1758207233172788444],,,,-0.903,6.294,19.613
[1758207233178855632],,,,-2.978,19.613,17.178
[1758207233184599226],,,,-1.135,19.613,7.949
[1758207233190412403],,,,-0.766,19.474,-4.944
[1758207233196110736],,,,1.422,-0.778,-7.319
[1758207233201839538],,,,3.223,-14.018,-5.169
[1758207233207563236],,,,2.602,-19.613,5.315
[1758207233213314642],,,,1.942,-19.613,19.613
[1758207233219814903],,,,-1.36,-10.985,19.613
[1758207233226217351],,,,-1.927,9.989,19.613
[1758207233233030476],,,,-2.32,19.613,12.163
[1758207233238965840],,,,-0.91,19.613,-0.108
[1758207233246019851],,,,-0.034,8.961,-10.772
[1758207233252507767],,,,1.156,-11.36,-5.239
[1758207233258972663],,,,2.744,-19.613,5.48
[1758207233265473757],,,,1.865,-19.613,19.613
[1758207233271905372],,,,-0.685,-9.292,19.613
[1758207233278319747],,,,-1.944,9.941,19.613
[1758207233285291569],,,,-2.895,19.613,13.111
[1758207233291672194],,,,-0.74,19.613,0.405
[1758207233298356309],,,,0.007,7.786,-8.471
[1758207233304953028],,,,2.184,-14.37,-5.574
[1758207233311938288],,,,2.291,-19.613,6.515
[1758207233318410476],,,,1.176,-19.613,19.613
[1758207233324280684],,,,-0.838,-8.253,19.613
[1758207233331620111],,,,-1.968,16.548,19.613
[1758207233338086517],,,,-2.32,19.613,11.344
[1758207233344461830],,,,-0.702,19.613,0.682
[1758207233351287142],,,,0.419,4.709,-6.385
[1758207233357744174],,,,2.844,-16.549,0.776
[1758207233364210580],,,,1.547,-19.613,8.995
[1758207233370557507],,,,0.792,-19.613,19.613
[1758207233376888549],,,,-0.812,-4.688,19.613
[1758207233384059382],,,,-1.702,19.613,19.613
[1758207233390738496],,,,-2.54,19.613,7.08
[1758207233397470632],,,,-0.23,19.532,-1.075
[1758207233403962611],,,,0.062,-1.226,-8.1
[1758207233410515944],,,,3.335,-19.613,-3.529
[1758207233416970267],,,,1.513,-19.613,12.153
[1758207233423400892],,,,0.838,-19.589,19.613
[1758207233429929278],,,,-1.393,-1.973,19.613
[1758207233436728028],,,,-2.042,19.613,19.613
[1758207233443395059],,,,-2.126,19.613,6.773
[1758207233450105684],,,,0.019,18.402,-8.071
[1758207233456495007],,,,1.176,-4.156,-7.76
[1758207233463221674],,,,2.176,-19.613,1.082
[1758207233469833913],,,,1.544,-19.613,11.693
[1758207233476317403],,,,0.479,-18.27,19.613
[1758207233482789538],,,,-1.537,4.204,19.613
[1758207233489780007],,,,-2.636,19.613,19.482
[1758207233496267611],,,,-1.798,19.613,1.875
[1758207233502729434],,,,-0.381,17.178,-6.586
[1758207233509205476],,,,1.544,-7.309,-8.116
[1758207233515227299],,,,2.119,-19.613,0.785
[1758207233520994330],,,,2.358,-19.613,15.301
[1758207233526787194],,,,0.603,-19.613,19.613
[1758207233532563236],,,,-0.536,-1.35,19.613
[1758207233538628132],,,,-1.942,16.701,19.613
[1758207233544429538],,,,-2.516,19.613,11.535
[1758207234613295631],,,,1.123,-19.613,19.613
[1758207234620948913],,,,-1.401,3.306,19.613
[1758207234627985527],,,,-2.456,19.613,19.472
