timestamp,x1,y1,z1,x2,y2,z2
[1758212970295502740],7.269,-3.867,3.8,,,
[1758212970300615604],9.29,-4.401,4.618,,,
[1758212970305787896],8.191,-4.403,4.858,,,
[1758212970313297688],9.206,-4.326,4.951,,,
[1758212970318593573],10.001,-4.891,4.403,,,
[1758212970324985083],9.622,-5.136,4.896,,,
[1758212970330240240],11.372,-5.44,4.278,,,
[1758212970335386542],10.499,-5.404,3.472,,,
[1758212970340472063],12.277,-5.789,2.306,,,
[1758212970345592948],10.93,-5.899,2.049,,,
[1758212970350694511],12.582,-5.892,1.528,,,
[1758212970355868104],11.538,-5.969,0.924,,,
[1758212970361071802],12.483,-5.849,1.288,,,
[1758212970366264302],10.75,-5.428,0.96,,,
[1758212970371416646],11.262,-5.001,0.737,,,
[1758212970376650188],9.567,-4.647,0.012,,,
[1758212970383251125],9.261,-4.391,-0.227,,,
[1758212970388511125],9.347,-4.216,-0.702,,,
[1758212970393639042],8.598,-3.915,-0.656,,,
[1758212970398746386],8.516,-3.814,0.01,,,
[1758212970403934927],6.941,-3.395,0.376,,,
[1758212970409034250],7.954,-3.505,0.747,,,
[1758212970414134771],6.285,-3.074,1.652,,,
[1758212970419225656],7.499,-3.179,2.444,,,
[1758212970424394563],5.947,-2.619,2.423,,,
[1758212970429965344],7.367,-3.314,2.538,,,
[1758212970435129667],6.476,-3.1,3.065,,,
[1758212970440227323],8.384,-3.814,3.278,,,
[1758212970445347636],7.422,-3.922,4.108,,,
[1758212970450448886],9.335,-4.427,4.274,,,
[1758212970455664771],8.112,-4.199,4.709,,,
[1758212970460792063],9.701,-4.415,5.126,,,
[1758212970465946125],8.799,-4.836,4.939,,,
[1758212970471040448],10.594,-5.009,4.235,,,
[1758212970476232375],10.202,-5.198,4.611,,,
[1758212970481323781],11.674,-5.262,4.19,,,
[1758212970486432323],10.939,-5.689,3.785,,,
[1758212970491877896],12.04,-5.6,2.389,,,
[1758212970497018677],11.581,-5.921,2.181,,,
[1758212970502260761],12.072,-5.722,1.822,,,
[1758212970507482688],11.779,-5.768,1.154,,,
[1758212970512643417],11.593,-5.258,0.424,,,
[1758212970517760448],11.011,-5.083,0.306,,,
[1758212970522985813],10.223,-4.594,-0.034,,,
[1758212970528099042],10.089,-4.899,0.029,,,
[1758212970533328261],9.033,-4.245,-0.57,,,
[1758212970539771125],9.622,-4.384,-1.365,,,
[1758212970545074979],7.599,-3.807,-0.388,,,
[1758212970550224979],8.801,-3.642,0.292,,,
[1758212970555402896],6.709,-3.349,0.235,,,
[1758212970560513469],7.966,-3.136,0.974,,,
[1758212970565638000],6.144,-2.921,2.069,,,
[1758212970570735031],7.319,-2.981,2.26,,,
[1758212970575854927],5.99,-2.775,2.188,,,
[1758212970580961229],7.302,-3.12,3.117,,,
[1758212970586105656],6.618,-3.263,3.694,,,
[1758212970591290813],8.289,-3.912,3.986,,,
[1758212970596414198],8.092,-4.214,4.063,,,
[1758212970602931333],8.717,-4.319,4.295,,,
[1758212970608132323],9.244,-4.621,4.867,,,
[1758212970613348885],9.45,-4.444,4.662,,,
[1758212970618497583],10.721,-5.078,4.621,,,
[1758212970623652323],10.065,-4.944,3.84,,,
[1758212970628801750],11.425,-5.444,3.527,,,
[1758212970633940344],11.009,-5.619,3.512,,,
[1758212970639065083],12.486,-5.885,2.816,,,
[1758212970644528833],10.958,-5.844,2.284,,,
[1758212970649686281],12.699,-6.306,1.633,,,
[1758212970654981750],11.291,-5.957,1.231,,,
[1758212970660090865],12.457,-5.701,1.317,,,
[1758212970665182323],10.293,-5.071,0.311,,,
[1758212970670330292],11.054,-4.963,-0.278,,,
[1758212970675485969],9.203,-4.475,-0.9,,,
[1758212970680574094],10.376,-4.702,-0.553,,,
[1758212970685682740],8.511,-4.219,-0.46,,,
[1758212970690799406],9.292,-4.068,-0.728,,,
[1758212970696071073],7.714,-3.598,-0.603,,,
[1758212970701207375],8.344,-3.431,0.591,,,
[1758212970706759979],7.135,-3.371,1.116,,,
[1758212970711888521],7.384,-3.175,1.094,,,
[1758212970716988313],6.498,-2.931,1.626,,,
[1758212970722105031],6.855,-2.899,2.741,,,
[1758212970727315552],6.383,-2.741,2.655,,,
[1758212970732509354],6.914,-3.263,2.696,,,
[1758212970737662583],7.077,-3.874,3.74,,,
[1758212970742840448],8.215,-4.101,3.876,,,
[1758212970748003938],8.935,-4.465,4.786,,,
[1758212970753650448],8.775,-4.252,4.736,,,
[1758212970758790240],10.101,-4.705,5.128,,,
[1758212970763931698],9.103,-4.695,5.203,,,
[1758212970769036958],10.793,-5.076,4.788,,,
[1758212970774175292],10.096,-4.978,4.331,,,
[1758212970779283625],11.849,-5.672,3.752,,,
[1758212970784403781],10.853,-5.552,2.784,,,
[1758212970789505240],12.196,-5.923,1.978,,,
[1758212970794748260],11.27,-5.804,2.229,,,
[1758212970800004771],12.993,-6.038,1.721,,,
[1758212970805218677],11.25,-5.916,1.077,,,
[1758212970810351594],12.28,-5.689,0.613,,,
[1758212970815628729],10.173,-5.049,1.044,,,
[1758212970820739510],10.992,-4.784,0.007,,,
[1758212970825861750],9.292,-4.503,-0.721,,,
[1758212970830977948],10.005,-4.532,-0.424,,,
[1758212970836149198],8.358,-4.108,-0.711,,,
[1758212970841269250],9.141,-3.893,-0.247,,,
[1758212970846399667],7.535,-3.663,0.297,,,
[1758212970851578885],8.26,-3.517,0.441,,,
[1758212970856813312],6.778,-3.349,1.19,,,
[1758212970862409510],7.008,-2.981,1.822,,,
[1758212970867556750],6.462,-3.005,2.203,,,
[1758212970872745865],6.876,-2.502,2.555,,,
[1758212970877895604],6.728,-2.962,3.153,,,
[1758212970883017219],6.946,-3.239,2.746,,,
[1758212970888121594],8.497,-4.135,3.697,,,
[1758212970893254927],8.27,-3.9,4.12,,,
[1758212970898368469],9.179,-4.195,4.633,,,
[1758212970903625969],8.612,-4.235,4.175,,,
[1758212970908804979],10.101,-4.791,5.155,,,
[1758212970913934302],9.359,-4.48,5.076,,,
[1758212970919038573],10.661,-5.236,4.781,,,
[1758212970924592375],10.226,-5.286,3.991,,,
[1758212970929795083],11.813,-5.806,3.62,,,
[1758212970934941542],10.882,-5.555,2.682,,,
[1758212970940140396],12.953,-6.098,2.164,,,
[1758212970945281802],11.442,-5.918,1.784,,,
[1758212970950394719],12.665,-5.983,1.587,,,
[1758212970955612635],11.167,-5.588,1.408,,,
[1758212970960732167],11.71,-5.349,0.474,,,
[1758212970965926646],10.06,-4.896,0.742,,,
[1758212970971543625],10.295,-4.638,0.163,,,
[1758212970976728156],9.392,-4.604,-0.163,,,
[1758212970981924823],9.749,-4.408,-0.318,,,
[1758212970987077635],8.349,-4.276,-0.769,,,
[1758212970994423573],7.386,-3.783,-0.347,,,
[1758212970999581229],8.557,-3.395,0.323,,,
[1758212971004781177],6.67,-3.129,1.01,,,
[1758212971009891906],7.563,-3.201,1.235,,,
[1758212971015077375],5.696,-2.978,2.124,,,
[1758212971020341333],7.501,-3.132,2.674,,,
[1758212971025492531],6.014,-3.112,2.938,,,
[1758212971031964667],7.41,-3.515,2.816,,,
[1758212971037232010],7.549,-3.91,3.867,,,
[1758212971042396854],8.662,-3.965,3.953,,,
[1758212971047512167],9.067,-4.566,4.293,,,
[1758212971052729406],9.167,-4.209,4.187,,,
[1758212971057883781],9.752,-4.657,5.203,,,
[1758212971063001021],9.697,-4.719,4.705,,,
[1758212971068115552],10.424,-5.064,4.513,,,
[1758212971073293000],10.76,-5.286,3.792,,,
[1758212971079111854],11.777,-5.641,3.766,,,
[1758212971084285812],11.001,-5.619,3.014,,,
[1758212971089391750],12.51,-5.911,2.543,,,
[1758212971094521698],11.43,-5.832,1.932,,,
[1758212971099631958],12.543,-6.017,1.63,,,
[1758212971104842114],11.073,-5.574,1.061,,,
[1758212971109959562],12.002,-5.337,0.46,,,
[1758212971115153156],9.536,-4.652,-0.28,,,
[1758212971120318625],10.578,-5.102,-0.208,,,
[1758212971125565969],9.258,-4.503,-0.017,,,
[1758212971130716854],10.118,-4.324,-0.192,,,
[1758212971137163833],8.437,-4.075,-0.95,,,
[1758212971143622739],7.937,-3.534,-0.132,,,
[1758212971148885812],8.2,-3.558,0.546,,,
[1758212971154097062],6.637,-3.211,0.649,,,
[1758212971159205344],7.554,-3.232,1.499,,,
[1758212971164337167],6.175,-2.792,1.8,,,
[1758212971169427948],7.281,-3.014,2.433,,,
[1758212971174544406],6.048,-3.175,3.194,,,
[1758212971179647844],7.381,-3.452,3.644,,,
[1758212971185131854],7.039,-3.699,3.393,,,
[1758212971190379406],9.048,-4.209,3.766,,,
[1758212971195579406],7.97,-4.444,4.051,,,
[1758212971200691281],9.819,-4.53,4.286,,,
[1758212971205899250],8.66,-4.638,4.611,,,
[1758212971211008937],10.592,-4.855,5.018,,,
[1758212971216145864],9.871,-5.109,4.769,,,
[1758212971221252739],11.255,-5.291,4.262,,,
[1758212971226427219],10.934,-5.497,3.285,,,
[1758212971231649771],12.127,-5.784,3.306,,,
[1758212971236792531],11.19,-5.751,2.449,,,
[1758212971241904041],12.713,-5.818,1.879,,,
[1758212971247587948],12.093,-6.012,1.712,,,
[1758212971254007375],11.135,-5.442,1.233,,,
[1758212971259253521],12.002,-5.152,0.321,,,
[1758212971264368573],9.84,-4.662,0.29,,,
[1758212971269457687],10.807,-4.851,0.244,,,
[1758212971274593052],9.139,-4.381,-0.575,,,
[1758212971279751698],9.809,-4.559,-0.79,,,
[1758212971284907948],8.066,-4.056,-0.582,,,
[1758212971290366541],9.124,-3.836,-0.041,,,
[1758212971295573052],6.907,-3.462,0.192,,,
[1758212971300811958],8.04,-3.407,0.414,,,
[1758212971306014510],6.531,-3.036,1.334,,,
[1758212971311129458],7.453,-2.95,2.308,,,
[1758212971316325552],6.017,-2.926,2.65,,,
[1758212971321434354],7.204,-3.062,2.899,,,
[1758212971326569458],6.577,-3.129,3.134,,,
[1758212971331722323],8.1,-3.673,3.282,,,
[1758212971336885344],7.963,-4.001,4.228,,,
[1758212971342088625],8.95,-3.926,3.965,,,
[1758212971347229094],8.444,-4.336,3.931,,,
[1758212971352888677],9.646,-4.427,4.152,,,
[1758212971358101541],9.799,-4.997,4.817,,,
[1758212971363219406],9.977,-4.805,4.073,,,
[1758212971368319510],10.513,-5.447,3.946,,,
[1758212971373444614],10.716,-5.296,3.644,,,
[1758212971378552844],12.028,-5.784,3.302,,,
[1758212971383663677],11.286,-5.557,2.162,,,
[1758212971388786125],12.361,-6.065,1.93,,,
[1758212971393990083],11.535,-5.899,1.86,,,
[1758212971400455916],12.55,-5.818,1.372,,,
[1758212971406023104],10.482,-5.459,0.625,,,
[1758212971411147323],11.202,-5.076,0.419,,,
[1758212971416301437],9.644,-4.575,0.122,,,
[1758212971421417166],10.702,-4.448,0.022,,,
[1758212971426516489],8.753,-4.475,-0.316,,,
[1758212971431675864],9.278,-4.211,-0.745,,,
[1758212971436864771],8.004,-3.833,-0.079,,,
[1758212971442003729],8.274,-3.543,-0.089,,,
[1758212971447251229],7.029,-3.443,0.917,,,
[1758212971452447896],7.511,-3.081,1.233,,,
[1758212971457635812],6.893,-3.041,1.903,,,
[1758212971465411854],5.835,-2.962,1.98,,,
[1758212971470711385],7.369,-3.141,2.497,,,
[1758212971475836437],6.225,-3.117,2.933,,,
[1758212971480940552],8.341,-3.974,3.601,,,
[1758212971486073885],7.776,-4.046,3.871,,,
[1758212971491164510],9.316,-4.257,4.513,,,
[1758212971496286073],8.332,-3.994,4.566,,,
[1758212971501389093],10.127,-4.568,4.87,,,
[1758212971506585343],9.234,-4.803,4.748,,,
[1758212971512247271],10.664,-4.963,4.59,,,
[1758212971518649146],10.91,-5.502,4.738,,,
[1758212971523893833],10.793,-5.377,3.405,,,
[1758212971529020396],12.122,-5.729,2.789,,,
[1758212971534168468],11.076,-5.739,1.887,,,
[1758212971539294614],12.517,-5.966,2.04,,,
[1758212971544404614],11.279,-5.684,1.659,,,
[1758212971549521593],12.364,-5.844,1.061,,,
[1758212971554730187],10.862,-5.15,0.148,,,
[1758212971559858052],11.25,-4.908,0.318,,,
[1758212971565090812],9.38,-4.762,0.247,,,
[1758212971570217791],10.544,-4.951,-0.079,,,
[1758212971575757166],8.645,-4.274,-0.986,,,
[1758212971580935343],9.553,-4.017,-1.022,,,
[1758212971586055343],7.75,-3.881,-0.656,,,
[1758212971591162323],8.43,-3.464,-0.079,,,
[1758212971596290916],6.61,-3.273,0.22,,,
[1758212971601401489],7.963,-3.254,1.142,,,
[1758212971606594250],6.227,-2.856,2.152,,,
[1758212971611704927],7.245,-2.942,2.411,,,
[1758212971616878000],6.031,-2.99,2.849,,,
[1758212971622087375],6.974,-3.036,2.964,,,
[1758212971628618208],7.568,-3.857,3.857,,,
[1758212971633876854],7.848,-3.826,3.862,,,
[1758212971639004198],9.155,-4.173,4.178,,,
[1758212971644123364],8.255,-4.207,4.322,,,
[1758212971649236750],10.041,-4.748,4.764,,,
[1758212971654437010],9.189,-4.702,5.011,,,
[1758212971659533729],10.704,-4.978,5.243,,,
[1758212971664678364],10.058,-4.982,4.389,,,
[1758212971669829927],11.909,-5.729,4.118,,,
[1758212971675075500],10.503,-5.713,3.436,,,
[1758212971680342583],12.493,-5.988,2.885,,,
[1758212971685939406],11.36,-5.758,1.695,,,
[1758212971691069875],12.981,-5.813,1.343,,,
[1758212971696220083],11.425,-5.837,1.484,,,
[1758212971701327062],11.99,-5.588,0.491,,,
[1758212971706533208],10.362,-5.097,0.318,,,
[1758212971711649770],10.973,-4.618,0.414,,,
[1758212971716780239],9.498,-4.702,0.615,,,
[1758212971721891645],10.008,-4.422,-0.168,,,
[1758212971728467166],9.222,-4.266,-0.543,,,
