timestamp,x1,y1,z1,x2,y2,z2
[1758209763074007427],,,,-0.153,-0.704,8.092
[1758209763082108469],,,,0.065,-2.581,7.381
[1758209763089796438],,,,0.402,-2.066,7.973
[1758209763097366854],,,,0.335,-1.666,8.993
[1758209763104783781],,,,0.828,-3.464,10.183
[1758209763113073781],,,,0.675,-4.405,10.422
[1758209763120862479],,,,0.883,-4.082,11.435
[1758209763128171281],,,,0.713,-2.1,12.218
[1758209763135873521],,,,0.529,-0.845,11.803
[1758209763143465969],,,,0.302,0.045,12.024
[1758209763150908938],,,,-0.007,1.13,11.677
[1758209763158664302],,,,-0.539,3.146,11.528
[1758209763166130604],,,,-0.464,3.649,10.554
[1758209763172819250],,,,-0.539,2.849,9.558
[1758209763179338729],,,,-0.795,3.728,8.593
[1758209763186018209],,,,-0.601,4.561,7.939
[1758209763193002792],,,,-0.766,2.466,7.75
[1758209763199558313],,,,-0.541,2.746,6.922
[1758209763206073313],,,,-0.321,1.607,7.274
[1758209763212624198],,,,-0.101,-1.197,7.094
[1758209763219120969],,,,-0.091,-1.355,7.63
[1758209763225393834],,,,0.261,-1.793,7.973
[1758209763232005448],,,,0.395,-3.543,8.6
[1758209763238920969],,,,0.587,-3.117,10.266
[1758209763245419615],,,,0.711,-2.998,10.561
[1758209763251827688],,,,0.656,-4.559,11.478
[1758209763258757948],,,,0.79,-3.328,11.969
[1758209763264929667],,,,0.692,-2.356,12.668
[1758209763270767479],,,,0.536,-2.689,12.203
[1758209763276412011],,,,0.486,0.541,11.7
[1758209763282101281],,,,0.268,0.271,12.301
[1758209763287962740],,,,-0.299,2.049,12.455
[1758209763293217479],,,,-0.419,1.915,11.487
[1758209763299056594],,,,-0.189,3.041,10.482
[1758209763305001073],,,,-0.567,3.632,10.015
[1758209763309995813],,,,-0.591,3.168,9.06
[1758209763315840865],,,,-0.685,4.468,8.796
[1758209763321859563],,,,-0.532,3.091,8.329
[1758209763327650761],,,,-0.9,3.926,7.599
[1758209763333518729],,,,-0.512,2.816,7.362
[1758209763339441073],,,,-0.431,2.061,6.864
[1758209763345040500],,,,-0.031,0.627,7.389
[1758209763350722792],,,,-0.038,-1.757,7.896
[1758209763356525969],,,,-0.117,-0.642,7.487
[1758209763362662375],,,,0.364,-3.165,8.358
[1758209763369107479],,,,0.412,-2.828,9.177
[1758209763375675761],,,,0.68,-2.433,10.257
[1758209763382361490],,,,0.797,-4.434,9.668
[1758209763388997063],,,,0.915,-3.488,11.155
[1758209763395915500],,,,0.879,-2.995,11.887
[1758209763402384667],,,,0.673,-3.575,12.34
[1758209763408836958],,,,0.646,-1.281,12.309
[1758209763415452583],,,,0.184,0.524,12.237
[1758209763422060136],,,,0.002,0.172,12.203
[1758209763428532375],,,,-0.227,2.571,12.194
[1758209763435074719],,,,-0.421,2.897,11.492
[1758209763442046802],,,,-0.328,2.116,10.096
[1758209763448791906],,,,-0.747,3.867,9.663
[1758209763455273052],,,,-0.718,4.314,9.081
[1758209763461931021],,,,-0.488,3.115,8.32
[1758209763468471594],,,,-0.687,3.462,6.816
[1758209763475277896],,,,-0.486,2.78,7.508
[1758209763481912844],,,,-0.256,-0.553,7.223
[1758209763488511854],,,,-0.024,-0.575,7.827
[1758209763495046698],,,,0.055,-1.499,7.566
[1758209763501922271],,,,0.163,-3.467,8.104
[1758209763508553260],,,,0.529,-2.349,9.598
[1758209763515243469],,,,0.498,-3.012,10.314
[1758209763521917427],,,,0.764,-4.46,10.671
[1758209763528656281],,,,0.661,-3.654,11.856
[1758209763535194198],,,,0.551,-3.091,12.031
[1758209763541238208],,,,0.651,-3.376,12.481
[1758209763548315500],,,,0.256,-0.69,12.275
[1758209763555029042],,,,0.163,0.747,11.947
[1758209763561569771],,,,0.074,0.723,12.064
[1758209763568127688],,,,-0.225,3.089,11.837
[1758209763575211281],,,,-0.512,3.029,10.542
[1758209763582054146],,,,-0.627,2.31,9.816
[1758209763588725292],,,,-0.685,3.869,9.771
[1758209763595720656],,,,-0.632,4.384,8.468
[1758209763602200396],,,,-0.711,2.655,8.056
[1758209763608907063],,,,-0.532,2.828,7.64
[1758209763615423990],,,,-0.472,1.726,7.386
[1758209763621905760],,,,-0.208,-1.116,7.853
[1758209763628592792],,,,0.072,-0.709,7.697
[1758209763635080031],,,,0.077,-1.858,7.989
[1758209763641606906],,,,0.534,-3.242,8.878
[1758209763648070917],,,,0.45,-2.421,9.201
[1758209763654578156],,,,0.867,-3.596,9.725
[1758209763660967479],,,,0.646,-4.468,10.63
[1758209763666852740],,,,0.702,-2.808,11.473
[1758209763672578417],,,,0.819,-3.663,11.914
[1758209763678606958],,,,0.546,-2.543,12.421
[1758209763684612115],,,,0.481,-0.91,12.72
[1758209763690295708],,,,0.259,-0.333,11.772
[1758209763695922896],,,,-0.108,1.695,12.012
[1758209763701690708],,,,-0.065,1.097,12.306
[1758209763707612115],,,,-0.247,3.029,11.82
[1758209763714040135],,,,-0.438,2.959,10.748
[1758209763719041698],,,,-0.651,3.656,10.147
[1758209763725037010],,,,-0.74,4.25,9.392
[1758209763731168000],,,,-0.565,2.954,8.523
[1758209763736915240],,,,-0.567,4.575,7.702
[1758209763742452479],,,,-0.366,2.303,7.453
[1758209763748308312],,,,-0.536,2.904,7.168
[1758209763753989302],,,,-0.35,0.991,6.675
[1758209763759822896],,,,-0.211,-0.917,7.07
[1758209763766379094],,,,0.146,-0.28,7.491
[1758209763773084250],,,,0.244,-2.713,7.731
[1758209763780103469],,,,0.163,-2.971,8.748
[1758209763786646750],,,,0.479,-2.131,9.426
[1758209763793155865],,,,0.737,-3.948,9.979
[1758209763799563312],,,,0.845,-3.773,11.08
[1758209763806581542],,,,0.74,-3.055,11.411
[1758209763813091906],,,,0.91,-3.428,12.433
[1758209763819665969],,,,0.527,-2.533,12.541
[1758209763826067010],,,,0.146,0.522,12.388
[1758209763832808208],,,,0.271,0.077,12.206
