timestamp,x1,y1,z1,x2,y2,z2
[1758212791416369318],10.867,-5.31,3.68,,,
[1758212791423536402],10.281,-5.662,3.323,,,
[1758212791430564839],11.736,-5.748,2.602,,,
[1758212791437268693],12.203,-5.844,2.267,,,
[1758212791443983173],11.372,-5.696,1.367,,,
[1758212791450670985],11.863,-5.255,0.776,,,
[1758212791457387808],11.655,-5.016,0.591,,,
[1758212791464248225],9.486,-4.647,0.249,,,
[1758212791470937391],9.304,-4.396,0.108,,,
[1758212791478127756],9.931,-4.259,-0.335,,,
[1758212791484413173],8.205,-4.049,-0.575,,,
[1758212791491009631],8.14,-3.421,-0.299,,,
[1758212791497480777],8.657,-3.596,0.448,,,
[1758212791504031975],6.735,-3.179,1.434,,,
[1758212791510693641],6.902,-3.182,1.815,,,
[1758212791517185256],7.693,-3.079,2.509,,,
[1758212791522523120],6.167,-2.998,2.354,,,
[1758212791527670933],7.903,-3.493,2.816,,,
[1758212791532848537],7.072,-3.752,3.342,,,
[1758212791537975777],8.892,-3.994,3.323,,,
[1758212791543114058],7.989,-4.369,3.752,,,
[1758212791548232495],9.378,-4.573,4.147,,,
[1758212791553460152],8.703,-4.551,4.769,,,
[1758212791558583693],9.907,-4.642,4.657,,,
[1758212791563797235],9.579,-5.138,4.623,,,
[1758212791568911714],10.807,-5.059,4.003,,,
[1758212791574042443],10.47,-5.361,3.788,,,
[1758212791579156245],11.463,-5.447,2.504,,,
[1758212791584333537],11.657,-5.856,2.579,,,
[1758212791589460464],11.559,-5.792,1.851,,,
[1758212791594678120],11.892,-5.739,2.569,,,
[1758212791599799423],11.688,-5.598,1.697,,,
[1758212791604896610],11.724,-5.66,1.063,,,
[1758212791609997079],11.202,-5.198,0.982,,,
[1758212791615265412],10.829,-5.109,1.279,,,
[1758212791620418016],9.268,-4.494,0.424,,,
[1758212791625896298],10.501,-4.642,-0.259,,,
[1758212791631109214],9.007,-4.432,-0.067,,,
[1758212791636262495],9.694,-4.314,-0.603,,,
[1758212791641385777],8.408,-3.946,-0.668,,,
[1758212791646527547],8.856,-3.893,-0.213,,,
[1758212791651626975],6.926,-3.455,0.639,,,
[1758212791656752808],8.428,-3.419,1.173,,,
[1758212791661880100],6.416,-3.261,1.499,,,
[1758212791667112183],7.611,-3.278,1.858,,,
[1758212791672375360],6.246,-3.129,2.155,,,
[1758212791677515568],7.487,-3.077,2.559,,,
[1758212791682691350],6.529,-3.211,2.456,,,
