[1758210584529779954],,,,4.362,8.988,-0.091
[1758210584534476360],,,,4.319,8.942,-0.335
[1758210584538445891],,,,4.434,9.127,-0.057
[1758210584542587297],,,,4.369,8.93,-0.069
[1758210584546868860],,,,4.29,9.014,-0.108
[1758210584551224902],,,,4.384,8.985,-0.259
[1758210584555524068],,,,4.288,9.005,-0.208
[1758210584559829277],,,,4.35,9.05,-0.124
[1758210584564058860],,,,4.281,8.959,-0.158
[1758210584568192870],,,,4.278,8.952,-0.204
[1758210584571945266],,,,4.336,8.964,-0.086
[1758210584575631568],,,,4.472,9.007,-0.134
[1758210584579355422],,,,4.25,8.99,-0.194
[1758210584583045735],,,,4.302,8.933,-0.012
[1758210584586733495],,,,4.355,8.981,-0.079
[1758210584590444016],,,,4.405,9.007,-0.034
[1758210584594090422],,,,4.254,9.057,-0.038
[1758210584597726933],,,,4.322,8.961,-0.007
[1758210584601353183],,,,4.386,8.914,-0.156
[1758210584604986568],,,,4.47,8.959,-0.124
[1758210584608947193],,,,4.444,9.033,-0.247
[1758210584612639693],,,,4.417,8.957,-0.108
[1758210584616302245],,,,4.417,8.973,-0.038
[1758210584620054589],,,,4.331,8.981,-0.266
[1758210584623734433],,,,4.405,8.935,-0.139
[1758210584627423287],,,,4.341,8.995,-0.201
[1758210584631059120],,,,4.341,8.978,-0.16
[1758210584634738808],,,,4.458,8.94,-0.057
[1758210584638489745],,,,4.496,9.021,-0.146
[1758210584642176464],,,,4.379,9.029,-0.184
[1758210584645852506],,,,4.369,8.997,-0.165
[1758210584649496412],,,,4.393,8.803,0.072
[1758210584653353964],,,,4.446,9.072,-0.151
[1758210584657176360],,,,4.563,9.098,-0.244
[1758210584660887402],,,,4.31,8.993,-0.172
[1758210584664535579],,,,4.357,9.117,-0.086
[1758210584668236360],,,,4.367,8.964,0.007
[1758210584671933652],,,,4.489,9.064,-0.184
[1758210584675585735],,,,4.295,9.012,-0.261
[1758210584679258287],,,,4.29,8.942,-0.273
[1758210584682928027],,,,4.372,8.909,-0.002
[1758210584686595318],,,,4.401,9.038,0.084
[1758210584690293704],,,,4.314,8.993,-0.215
[1758210584693940995],,,,4.353,8.971,-0.124
[1758210584698147506],,,,4.403,8.973,-0.065
[1758210584701910891],,,,4.367,8.978,-0.302
[1758210584705559745],,,,4.408,9.048,-0.024
[1758210584709239016],,,,4.381,9.06,-0.213
[1758210584712950891],,,,4.396,8.945,-0.232
[1758210584716618391],,,,4.513,9.172,0.077
[1758210584720270735],,,,4.472,8.993,-0.12
[1758210584723922714],,,,4.429,9.052,0.045
[1758210584727567922],,,,4.41,8.985,-0.294
[1758210584731295318],,,,4.192,9.131,0.053
[1758210584737522506],,,,4.369,9.031,-0.172
[1758210584741341204],,,,4.42,9.16,-0.22
[1758210584745129120],,,,4.451,8.961,-0.072
[1758210584748869797],,,,4.41,8.99,-0.113
[1758210584752520474],,,,4.401,8.887,-0.271
[1758210584756161985],,,,4.317,8.928,0.096
[1758210584760705527],,,,4.338,9.019,0.11
[1758210584764527662],,,,4.36,8.945,-0.079
[1758210584768237349],,,,4.403,8.914,-0.086
[1758210584772014329],,,,4.41,9.091,0.0
[1758210584775662349],,,,4.293,8.954,-0.103
[1758210584779335839],,,,4.324,8.971,-0.031
[1758210584783055735],,,,4.187,9.074,-0.196
[1758210584786705058],,,,4.164,9.103,-0.062
[1758210584790385683],,,,4.278,8.952,-0.019
[1758210584794026308],,,,4.417,8.995,-0.156
[1758210584797746620],,,,4.441,8.971,-0.141
[1758210584801535787],,,,4.338,9.026,-0.297
[1758210584805189797],,,,4.286,9.017,-0.045
[1758210584808884537],,,,4.372,9.036,-0.005
[1758210584812610318],,,,4.343,8.954,-0.275
[1758210584816274016],,,,4.417,9.021,-0.165
[1758210584819939745],,,,4.424,8.921,0.113
[1758210584823704172],,,,4.329,9.038,-0.101
[1758210584827345214],,,,4.312,8.916,-0.091
[1758210584831037922],,,,4.29,9.06,-0.28
[1758210584834669954],,,,4.427,9.069,-0.115
[1758210584838333183],,,,4.513,8.935,0.024
[1758210584841972245],,,,4.391,9.1,-0.01
[1758210584845666620],,,,4.324,9.005,-0.024
[1758210584849427506],,,,4.381,8.99,-0.127
[1758210584853130370],,,,4.329,9.017,-0.096
[1758210584856773443],,,,4.369,9.184,-0.11
[1758210584860449589],,,,4.357,9.029,-0.007
[1758210584864390266],,,,4.405,9.155,-0.084
[1758210584868181256],,,,4.389,8.894,-0.18
[1758210584872596047],,,,4.293,9.187,-0.206
[1758210584876480266],,,,4.319,9.074,-0.072
[1758210584880157818],,,,4.424,8.969,-0.108
[1758210584883787141],,,,4.508,8.938,-0.172
[1758210584887458651],,,,4.46,8.918,-0.129
[1758210584891144693],,,,4.432,9.021,-0.026
[1758210584894788391],,,,4.384,9.163,-0.089
[1758210584898581776],,,,4.413,8.885,-0.043
[1758210584902314172],,,,4.508,9.079,-0.192
[1758210584906003287],,,,4.396,8.78,-0.103
[1758210584909672141],,,,4.549,9.055,-0.206
[1758210584913299537],,,,4.429,8.973,-0.158
[1758210584917084954],,,,4.365,9.017,-0.127
[1758210584920860787],,,,4.298,9.031,-0.113
[1758210584924566933],,,,4.365,9.029,0.072
[1758210584928296568],,,,4.381,9.038,-0.227
[1758210584932092974],,,,4.319,9.057,-0.189
[1758210584936013026],,,,4.429,9.055,-0.026
[1758210584939734485],,,,4.518,8.95,-0.144
[1758210584943392193],,,,4.35,9.002,-0.16
[1758210584947074537],,,,4.408,8.866,-0.038
[1758210584950851516],,,,4.365,8.897,-0.146
[1758210584954539433],,,,4.35,9.048,0.0
[1758210584958233756],,,,4.369,9.048,-0.285
[1758210584961900110],,,,4.329,9.172,-0.101
[1758210584965585631],,,,4.355,9.031,-0.237
[1758210584969274901],,,,4.329,9.043,-0.077
[1758210584972956360],,,,4.331,8.933,0.041
[1758210584977490891],,,,4.362,8.921,-0.041
[1758210584982547089],,,,4.288,9.007,-0.201
[1758210584987535474],,,,4.451,8.983,-0.029
[1758210584992277922],,,,4.369,8.981,-0.227
[1758210584996211829],,,,4.482,9.026,-0.017
[1758210585000241776],,,,4.31,8.969,-0.086
[1758210585004223651],,,,4.353,8.995,-0.048
[1758210585008510735],,,,4.427,9.122,-0.06
[1758210585013316985],,,,4.338,9.029,-0.261
[1758210585017325266],,,,4.293,9.038,-0.031
[1758210585021246881],,,,4.434,8.95,-0.235
[1758210585025247349],,,,4.424,9.06,-0.031
[1758210585028975474],,,,4.329,9.026,-0.278
[1758210585032650318],,,,4.578,9.043,-0.254
[1758210585036342089],,,,4.489,9.005,-0.108
[1758210585040014068],,,,4.458,8.957,-0.105
[1758210585043654537],,,,4.393,8.995,-0.177
[1758210585047312037],,,,4.353,8.947,0.077
[1758210585051028651],,,,4.408,8.909,0.079
[1758210585054694745],,,,4.293,8.964,-0.182
[1758210585058557974],,,,4.372,9.002,-0.079
[1758210585062260006],,,,4.295,8.978,-0.206
[1758210585065905474],,,,4.482,8.928,-0.12
[1758210585069572662],,,,4.401,8.997,-0.158
[1758210585073217870],,,,4.436,9.124,-0.148
[1758210585076861360],,,,4.544,8.983,0.067
[1758210585080529433],,,,4.374,9.062,-0.124
[1758210585084171933],,,,4.357,8.899,-0.01
[1758210585087831308],,,,4.525,9.007,-0.017
[1758210585091756204],,,,4.353,9.093,-0.172
[1758210585095478183],,,,4.472,9.096,-0.103
[1758210585099292662],,,,4.329,9.019,-0.29
[1758210585102950735],,,,4.154,8.914,-0.141
[1758210585106614485],,,,4.341,8.973,-0.108
[1758210585110683703],,,,4.331,9.0,-0.055
[1758210585114321724],,,,4.468,9.005,-0.12
[1758210585117967453],,,,4.42,8.928,-0.045
[1758210585121653964],,,,4.3,8.993,-0.239
[1758210585125339172],,,,4.46,9.069,0.146
[1758210585129022193],,,,4.434,8.978,-0.12
[1758210585132653235],,,,4.448,8.945,-0.017
[1758210585136295787],,,,4.403,9.091,-0.283
[1758210585139981672],,,,4.444,8.93,-0.144
[1758210585143635370],,,,4.374,8.99,-0.129
[1758210585147444589],,,,4.353,9.024,-0.029
[1758210585151121099],,,,4.214,8.918,-0.247
[1758210585154800631],,,,4.334,8.873,0.036
[1758210585158593703],,,,4.362,9.091,-0.067
[1758210585162277453],,,,4.362,9.043,-0.098
[1758210585165922037],,,,4.314,8.914,0.17
[1758210585169574849],,,,4.398,8.976,-0.055
[1758210585173217870],,,,4.298,9.069,-0.089
[1758210585176895891],,,,4.415,8.99,-0.28
[1758210585180615839],,,,4.424,9.038,-0.115
[1758210585184296203],,,,4.578,8.964,-0.247
